mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
0.00920100212097168,0.0007480251877233446,0.027609634399414062,0.003880987172619471,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",11.684400608583724,11.91907129457149,13.276184213145804,11.065652809245831,11.192549117732696,11.82757160865591,0.7888120722382654,14,KNN,Subset Dataset
0.00959639549255371,0.0004889491893914995,0.03061361312866211,0.007545363434298391,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",11.912410646842515,11.923642237403072,13.45496555195784,11.138693286864068,11.22568730405843,11.931079805425187,0.8304320079533919,16,KNN,Subset Dataset
0.024005651473999023,0.01702611667314254,0.028744077682495116,0.010015344374223096,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",11.64744780536513,11.784742978773888,13.186537712258732,11.004586882174996,11.106982509308942,11.746059577576338,0.7803075292288156,13,KNN,Subset Dataset
0.011800289154052734,0.001166717924650951,0.018198156356811525,0.0011732344759745289,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",11.84573639146511,11.805522718241303,13.373244349960773,11.127709569600555,11.156842149312206,11.86181103571599,0.8153212281832376,15,KNN,Subset Dataset
0.009992170333862304,0.0006340705315120423,0.030002021789550783,0.0010965422041826157,10,1,uniform,"{'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",11.40648230385133,11.41387946678332,12.953520162522388,10.342856683435874,10.81044674279697,11.385437071877977,0.8806502365505231,10,KNN,Subset Dataset
0.010799598693847657,0.0011679733238221112,0.028803110122680664,0.001166716063515293,10,1,distance,"{'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",11.545649098554204,11.415901610399176,13.099027162556972,10.408298485042419,10.819245890191329,11.457624449348819,0.9178566516885285,12,KNN,Subset Dataset
0.016802167892456053,0.014104965921941824,0.03580031394958496,0.01397770997013943,10,2,uniform,"{'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",11.242954605211573,11.327695482944916,12.94183600213436,10.343565288331652,10.858789814864636,11.342968238697427,0.8717624805202576,9,KNN,Subset Dataset
0.011602210998535156,0.001019251928197016,0.025397872924804686,0.004714470763763043,10,2,distance,"{'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",11.356279542433382,11.3285592365991,13.081488281428097,10.41250652365853,10.852603303212957,11.406287377466414,0.9065326199931752,11,KNN,Subset Dataset
0.012401390075683593,0.0035527655859010545,0.03779864311218262,0.0035429326681022497,20,1,uniform,"{'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",11.011153572380758,11.107319245229407,12.663736110078165,10.115790894684348,10.54876007046598,11.089351978567732,0.8631551427305081,4,KNN,Subset Dataset
0.013196134567260742,0.0029921431507079705,0.04200325012207031,0.00709728362087387,20,1,distance,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}",11.182545738741442,11.123401926227492,12.812709106562844,10.126359628711878,10.551124675278245,11.159228215104381,0.913502459789469,7,KNN,Subset Dataset
0.009999704360961915,0.0008900003447079444,0.02639636993408203,0.0010183597259607246,20,2,uniform,"{'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}",11.006589708114689,11.247652464952699,12.586642137599192,10.195417410336049,10.634809950261811,11.134222334252888,0.8086343031818746,6,KNN,Subset Dataset
0.010796737670898438,0.0035991939381681817,0.027599859237670898,0.0018576661849702561,20,2,distance,"{'n_neighbors': 20, 'p': 2, 'weights': 'distance'}",11.162833975472232,11.226360958017153,12.745767686089355,10.21004539484663,10.63155121806033,11.195311846497141,0.8595938804902635,8,KNN,Subset Dataset
0.010396194458007813,0.0010210757962341038,0.04680104255676269,0.0013257871598412502,50,1,uniform,"{'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",10.943763234722118,11.256480258737398,12.556233948912997,10.043726405605481,10.367447736526179,11.033530316900835,0.8717532842777225,1,KNN,Subset Dataset
0.012202310562133788,0.002711908996244,0.04719843864440918,0.012257123621931211,50,1,distance,"{'n_neighbors': 50, 'p': 1, 'weights': 'distance'}",11.102826395272485,11.228414146254282,12.687731631993767,10.02413639164774,10.36821346585728,11.082264406205113,0.9196533255085978,3,KNN,Subset Dataset
0.010795783996582032,0.0013269053971203557,0.03740262985229492,0.0010189955960684788,50,2,uniform,"{'n_neighbors': 50, 'p': 2, 'weights': 'uniform'}",10.982590051328156,11.272267048137511,12.617382629982302,9.99706352994448,10.455655284462777,11.064991708771046,0.891227484409964,2,KNN,Subset Dataset
0.010196113586425781,0.0007506679382678463,0.03740038871765137,0.0030746282943507086,50,2,distance,"{'n_neighbors': 50, 'p': 2, 'weights': 'distance'}",11.110172407353186,11.234371512180378,12.736027156407065,9.992769371908203,10.452319278876162,11.105131945344997,0.931671866446907,5,KNN,Subset Dataset
