mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
0.9607852935791016,0.08188757655683056,0.19079976081848143,0.02740852341072171,0.001,2,linear,,"{'C': 0.001, 'degree': 2, 'kernel': 'linear'}",14.169363164354591,14.225028725317424,14.605365057837105,11.246722981305215,10.773353148849413,13.00396661553275,1.6417771097658,43,Random Forest,Subset Dataset
0.8607822895050049,0.02083520771749709,0.16460227966308594,0.01136299043449388,0.001,3,linear,,"{'C': 0.001, 'degree': 3, 'kernel': 'linear'}",14.169363164354591,14.225028725317424,14.605365057837105,11.246722981305215,10.773353148849413,13.00396661553275,1.6417771097658,43,Random Forest,Subset Dataset
0.9674489974975586,0.09434999781650996,0.1848006248474121,0.021385659555697593,0.001,4,linear,,"{'C': 0.001, 'degree': 4, 'kernel': 'linear'}",14.169363164354591,14.225028725317424,14.605365057837105,11.246722981305215,10.773353148849413,13.00396661553275,1.6417771097658,43,Random Forest,Subset Dataset
0.8888272285461426,0.026700413476078762,0.17700376510620117,0.018709031211107372,0.01,2,linear,,"{'C': 0.01, 'degree': 2, 'kernel': 'linear'}",11.953909045886228,12.128470257407535,13.060975963624925,10.31159217534228,10.645789909590446,11.620147470370284,1.0106893893260485,22,Random Forest,Subset Dataset
1.0020970344543456,0.1265455981337234,0.19998040199279785,0.0334359142570929,0.01,3,linear,,"{'C': 0.01, 'degree': 3, 'kernel': 'linear'}",11.953909045886228,12.128470257407535,13.060975963624925,10.31159217534228,10.645789909590446,11.620147470370284,1.0106893893260485,22,Random Forest,Subset Dataset
0.9105662822723388,0.03221655187027646,0.18300037384033202,0.013899617545097376,0.01,4,linear,,"{'C': 0.01, 'degree': 4, 'kernel': 'linear'}",11.953909045886228,12.128470257407535,13.060975963624925,10.31159217534228,10.645789909590446,11.620147470370284,1.0106893893260485,22,Random Forest,Subset Dataset
1.0833796977996826,0.13440018505558893,0.18259954452514648,0.016130157751064505,0.1,2,linear,,"{'C': 0.1, 'degree': 2, 'kernel': 'linear'}",11.687390290842165,11.7811794506721,12.924596723099718,10.497999362650487,10.96163190946029,11.570559547344953,0.8261482987455956,7,Random Forest,Subset Dataset
0.9884827136993408,0.11166274601398907,0.17316732406616211,0.01192721354727096,0.1,3,linear,,"{'C': 0.1, 'degree': 3, 'kernel': 'linear'}",11.687390290842165,11.7811794506721,12.924596723099718,10.497999362650487,10.96163190946029,11.570559547344953,0.8261482987455956,7,Random Forest,Subset Dataset
0.9013903141021729,0.025168838797314956,0.17062077522277833,0.010464147588734032,0.1,4,linear,,"{'C': 0.1, 'degree': 4, 'kernel': 'linear'}",11.687390290842165,11.7811794506721,12.924596723099718,10.497999362650487,10.96163190946029,11.570559547344953,0.8261482987455956,7,Random Forest,Subset Dataset
1.0918306827545166,0.10508285731735276,0.18972525596618653,0.02027400822856592,1,2,linear,,"{'C': 1, 'degree': 2, 'kernel': 'linear'}",11.672276972684935,11.74465216020444,12.916135506953607,10.568733070914623,11.051718898735494,11.59070332189862,0.7901964799727643,10,Random Forest,Subset Dataset
1.0231471061706543,0.04142492621140274,0.17500295639038085,0.011307567086681743,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",11.672276972684935,11.74465216020444,12.916135506953607,10.568733070914623,11.051718898735494,11.59070332189862,0.7901964799727643,10,Random Forest,Subset Dataset
1.0268489837646484,0.11851562248757544,0.18457694053649903,0.022345186299826656,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",11.672276972684935,11.74465216020444,12.916135506953607,10.568733070914623,11.051718898735494,11.59070332189862,0.7901964799727643,10,Random Forest,Subset Dataset
1.7401657104492188,0.3275708840341194,0.22120018005371095,0.03864432372090991,10,2,linear,,"{'C': 10, 'degree': 2, 'kernel': 'linear'}",11.671510331957231,11.735732366319963,12.917115889064322,10.575258920096317,11.054465248322344,11.590816551152034,0.7881131943490859,13,Random Forest,Subset Dataset
1.405214214324951,0.045707545719735385,0.17119989395141602,0.010050338786973529,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",11.671510331957231,11.735732366319963,12.917115889064322,10.575258920096317,11.054465248322344,11.590816551152034,0.7881131943490859,13,Random Forest,Subset Dataset
1.4771105766296386,0.2087121000187207,0.1882500171661377,0.028949550944768795,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",11.671510331957231,11.735732366319963,12.917115889064322,10.575258920096317,11.054465248322344,11.590816551152034,0.7881131943490859,13,Random Forest,Subset Dataset
5.27791166305542,0.34278567813127475,0.18740005493164064,0.011638200082645277,100,2,linear,,"{'C': 100, 'degree': 2, 'kernel': 'linear'}",11.673105103290979,11.734814264326431,12.917035015348342,10.576133676363474,11.054326223955783,11.591082856657001,0.7878787996841898,19,Random Forest,Subset Dataset
5.018998146057129,0.5074029511353807,0.1875072956085205,0.019237925324884744,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",11.673105103290979,11.734814264326431,12.917035015348342,10.576133676363474,11.054326223955783,11.591082856657001,0.7878787996841898,19,Random Forest,Subset Dataset
5.397382736206055,0.4262368410338003,0.20219931602478028,0.06407948289721162,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",11.673105103290979,11.734814264326431,12.917035015348342,10.576133676363474,11.054326223955783,11.591082856657001,0.7878787996841898,19,Random Forest,Subset Dataset
