mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
0.9198924541473389,0.12193044319228705,0.003998804092407227,0.0008938863362850856,0.001,0.1,"{'alpha': 0.001, 'l1_ratio': 0.1}",10.109337717965213,10.069433350803891,10.145544477256701,9.463714980830321,9.604705755175768,9.878547256406378,0.28567962432715277,5,Elastic Net Regression,Full Dataset
0.8386900424957275,0.018262583345132154,0.0033972740173339845,0.0004877193251799367,0.001,0.3,"{'alpha': 0.001, 'l1_ratio': 0.3}",10.109222187557368,10.070667333910398,10.1448724961902,9.462804961564942,9.604083432944835,9.878330082433546,0.28608459996093993,4,Elastic Net Regression,Full Dataset
1.01637601852417,0.09368181668364721,0.003400087356567383,0.00048949328231891,0.001,0.5,"{'alpha': 0.001, 'l1_ratio': 0.5}",10.10895780928319,10.072685892247812,10.143892740720052,9.461415593633472,9.602943586951934,9.877979124567293,0.28675482617892933,3,Elastic Net Regression,Full Dataset
1.0929699897766114,0.0715352863381249,0.0042019844055175785,0.0007497743048690339,0.001,0.7,"{'alpha': 0.001, 'l1_ratio': 0.7}",10.108407711391855,10.076509416735334,10.142274725957629,9.45900837509242,9.600693884666944,9.877378822768836,0.2880227653569962,2,Elastic Net Regression,Full Dataset
0.930260181427002,0.10229036089462924,0.004204702377319336,0.001163991133007344,0.001,0.9,"{'alpha': 0.001, 'l1_ratio': 0.9}",10.107361099288193,10.085697038989775,10.13914214702984,9.454114051130448,9.595693695383623,9.876401606364377,0.29096500400951514,1,Elastic Net Regression,Full Dataset
0.04479794502258301,0.009172036522186004,0.0036014556884765626,0.0004915740281977095,0.01,0.1,"{'alpha': 0.01, 'l1_ratio': 0.1}",10.112821194996304,10.068581655227623,10.156829894730231,9.478402121227939,9.607402206350654,9.88480741450655,0.2835060483692613,10,Elastic Net Regression,Full Dataset
0.039207839965820314,0.012985013498497351,0.003797769546508789,0.0011484195456963502,0.01,0.3,"{'alpha': 0.01, 'l1_ratio': 0.3}",10.111091212116182,10.067094965877647,10.154305897806305,9.476308994335154,9.608026157425424,9.883365445512144,0.2830303757999858,9,Elastic Net Regression,Full Dataset
0.038802146911621094,0.00673748978786524,0.004597759246826172,0.001358446805671533,0.01,0.5,"{'alpha': 0.01, 'l1_ratio': 0.5}",10.109661753984986,10.065638823178848,10.151907675354787,9.474427785198042,9.60890385712345,9.882107978968023,0.28252426446476847,8,Elastic Net Regression,Full Dataset
0.0379974365234375,0.02427383825209203,0.0038063526153564453,0.0004036559059369771,0.01,0.7,"{'alpha': 0.01, 'l1_ratio': 0.7}",10.108852960216542,10.064230389434126,10.149729643764056,9.473383398550485,9.60918759075943,9.881076796544928,0.2820422729432765,7,Elastic Net Regression,Full Dataset
0.04059877395629883,0.01754078797107965,0.004605865478515625,0.0010187102957655008,0.01,0.9,"{'alpha': 0.01, 'l1_ratio': 0.9}",10.10972831939729,10.063397210438549,10.147288306474165,9.472041565447576,9.60979812317055,9.880450704985625,0.281883237954041,6,Elastic Net Regression,Full Dataset
0.02620081901550293,0.008609322828608282,0.007997608184814453,0.007561362697897179,0.1,0.1,"{'alpha': 0.1, 'l1_ratio': 0.1}",10.228528364681905,10.166408180778904,10.260945701925754,9.58982046300068,9.704965839354069,9.990133709948262,0.2838363068995776,15,Elastic Net Regression,Full Dataset
0.020396041870117187,0.0052040691133642975,0.004204893112182617,0.0011664015240182865,0.1,0.3,"{'alpha': 0.1, 'l1_ratio': 0.3}",10.220326088663645,10.157675414889608,10.251052081264744,9.582327580183637,9.701898017787768,9.98265583655788,0.282220910408982,14,Elastic Net Regression,Full Dataset
0.017000579833984376,0.00167257320449816,0.004198408126831055,0.00040050235608033726,0.1,0.5,"{'alpha': 0.1, 'l1_ratio': 0.5}",10.21070865658538,10.150639989969262,10.238421217541752,9.580625667744803,9.691180803346473,9.974315267037534,0.27995743274701707,13,Elastic Net Regression,Full Dataset
0.0171968936920166,0.001942369758325335,0.004001903533935547,0.0006325036569206224,0.1,0.7,"{'alpha': 0.1, 'l1_ratio': 0.7}",10.197043042839626,10.135760324619985,10.22063952022453,9.577714597308018,9.675766880857608,9.961384873169953,0.2763820041653812,12,Elastic Net Regression,Full Dataset
0.024199581146240233,0.005570587229072887,0.004002809524536133,5.186357662650576e-06,0.1,0.9,"{'alpha': 0.1, 'l1_ratio': 0.9}",10.178611927991353,10.114331501051499,10.194411846478193,9.567146382521035,9.653947570691047,9.941689845746625,0.27308754880240527,11,Elastic Net Regression,Full Dataset
0.01240367889404297,0.002061747898087778,0.005796241760253906,0.0020360497306671703,1,0.1,"{'alpha': 1, 'l1_ratio': 0.1}",10.559588431636058,10.6404366187095,10.684539157814585,10.106680162743618,10.273418516880415,10.452932577556833,0.22462897294033998,20,Elastic Net Regression,Full Dataset
0.010793733596801757,0.000747069503161983,0.003997421264648438,1.2848085007960777e-06,1,0.3,"{'alpha': 1, 'l1_ratio': 0.3}",10.546781753333553,10.6126086179632,10.64756842593561,10.072853595436834,10.244250896189298,10.4248126577717,0.22638093846085883,19,Elastic Net Regression,Full Dataset
0.011605787277221679,0.001625924215567339,0.009203577041625976,0.007162088504324288,1,0.5,"{'alpha': 1, 'l1_ratio': 0.5}",10.531826084235155,10.583076738427671,10.606844357847692,10.036844427421078,10.206492649919348,10.39301685157019,0.22924355591026266,18,Elastic Net Regression,Full Dataset
