mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
1.1463646411895752,0.0964292124545283,0.034406614303588864,0.001358561360821083,10,5,100,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 100}",9.372426478533416,9.490151236975905,9.617569823988854,9.072993539596055,8.953553288874371,9.301338873593721,0.25052024853369537,12,Random Forest,Full Dataset
3.100985288619995,0.38289219937885627,0.09110136032104492,0.019703419209713913,10,5,250,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 250}",9.405833723223056,9.3871122902905,9.555392945990615,9.05000253473054,8.996582054556187,9.27898470975818,0.21742486292576363,11,Random Forest,Full Dataset
2.037274980545044,0.3271923362720434,0.03831486701965332,0.008223005189012022,10,10,100,"{'max_depth': 10, 'max_features': 10, 'n_estimators': 100}",9.385562387884423,9.375663494938992,9.465351554222904,8.9913263411854,8.84163584251311,9.211907924148965,0.24777533474772423,7,Random Forest,Full Dataset
4.7724113941192625,0.6902663140629677,0.08480525016784668,0.012552865401779955,10,10,250,"{'max_depth': 10, 'max_features': 10, 'n_estimators': 250}",9.304343541438492,9.35457212083722,9.458907503242987,9.015962579292045,8.834750012635608,9.19370715148927,0.23190193453017593,3,Random Forest,Full Dataset
3.5017114639282227,0.5124051843900865,0.03498883247375488,0.00127247795386331,10,20,100,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 100}",9.274715340911523,9.414807570369884,9.410103323498085,9.11613149802944,8.808851855709289,9.204921917703643,0.22617592755911245,5,Random Forest,Full Dataset
9.083367729187012,1.173973676632364,0.0940014362335205,0.035768926126147335,10,20,250,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 250}",9.29148348208031,9.369057214963048,9.411856616657806,9.06792190234314,8.898561797549272,9.207776202718716,0.19485382345751456,6,Random Forest,Full Dataset
1.5411044597625732,0.043050123940432186,0.04473404884338379,0.004705635409070128,25,5,100,"{'max_depth': 25, 'max_features': 5, 'n_estimators': 100}",9.369548644210926,9.468006176760637,9.509467235660491,9.036936766146797,8.993551900175534,9.275502144590877,0.21773910555968198,10,Random Forest,Full Dataset
4.118318748474121,0.5313895077378189,0.11867079734802247,0.022864877932986725,25,5,250,"{'max_depth': 25, 'max_features': 5, 'n_estimators': 250}",9.341210290065069,9.364918003593026,9.471164557593484,8.997104931180107,8.962006482137081,9.227280852913754,0.20724604220198145,8,Random Forest,Full Dataset
2.738059949874878,0.3485470352457874,0.04979968070983887,0.013287417492583265,25,10,100,"{'max_depth': 25, 'max_features': 10, 'n_estimators': 100}",9.260648945443744,9.318748496775216,9.380778409516143,9.141067298797015,8.874512561903124,9.195151142487049,0.17875005563693758,4,Random Forest,Full Dataset
6.598142099380493,0.4025565069593951,0.1020352840423584,0.010738054585442492,25,10,250,"{'max_depth': 25, 'max_features': 10, 'n_estimators': 250}",9.251021066028722,9.315365332626447,9.391295954422871,9.00978120538419,8.808185213279907,9.155129754348426,0.21547239893903633,1,Random Forest,Full Dataset
4.7814881801605225,0.24039832799459734,0.04440188407897949,0.004755793724490295,25,20,100,"{'max_depth': 25, 'max_features': 20, 'n_estimators': 100}",9.334524398398548,9.389007795751828,9.483286652976599,9.149232185997562,8.905047937120965,9.2522197940491,0.20494469705589932,9,Random Forest,Full Dataset
9.665228509902954,0.6371909678155062,0.07595434188842773,0.006360406380003176,25,20,250,"{'max_depth': 25, 'max_features': 20, 'n_estimators': 250}",9.253566724157274,9.332995279566097,9.374199908404547,9.061020475462891,8.85264115955439,9.17488470942904,0.19376394380065626,2,Random Forest,Full Dataset
