mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
0.17920126914978027,0.009988033887379634,0.00599822998046875,0.0028284807785388453,0.001,{'alpha': 0.001},10.109006147230879,10.073878967586683,10.143751852650107,9.462308277009123,9.603522640305307,9.87849357695642,0.2865284169660236,1,Lasso Regression,Full Dataset
0.028197288513183594,0.004399473847690086,0.004799318313598633,0.0018318996702515237,0.01,{'alpha': 0.01},10.109961273715713,10.063155847805918,10.146175018484396,9.470941299414635,9.610378902377809,9.880122468359694,0.28188716688587045,2,Lasso Regression,Full Dataset
0.026799869537353516,0.005192280363933623,0.0049209117889404295,0.0015834722051153282,0.1,{'alpha': 0.1},10.162977479006384,10.09867168750209,10.181721733801618,9.556039923091102,9.642050898536715,9.928292344387582,0.2716021792526101,3,Lasso Regression,Full Dataset
0.028484249114990236,0.005690208422954606,0.004802703857421875,0.001723162576987413,1,{'alpha': 1},10.4113357102665,10.381211755291144,10.487902469640424,9.872693662248649,9.983010710037766,10.227230861496896,0.24935697556547284,4,Lasso Regression,Full Dataset
0.015429925918579102,0.005370489093729754,0.005202341079711914,0.0015344543913232422,10,{'alpha': 10},15.591081700225981,15.682021510355757,15.09434044339971,15.069624287438373,15.562282449179294,15.399870078119823,0.26266318103968733,5,Lasso Regression,Full Dataset
