mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
1.135570764541626,0.14647326188358734,0.019599771499633788,0.0030059666787549703,0.001,50,"{'learning_rate': 0.001, 'n_estimators': 50}",10.414196348689119,10.189884136822194,10.120720699873534,10.304637606811331,9.631390512032981,10.13216586084583,0.26963903289379604,14,AdaBoost DT Regression,Full Dataset
2.2507549285888673,0.3526931170224266,0.04404525756835938,0.01237724512608792,0.001,100,"{'learning_rate': 0.001, 'n_estimators': 100}",10.440799937374889,10.138215001081361,10.121425442289816,10.279073493633167,9.596274303492613,10.11515763557437,0.28380350845699687,13,AdaBoost DT Regression,Full Dataset
6.355951118469238,0.3843683211802325,0.08699984550476074,0.013855478176974651,0.001,250,"{'learning_rate': 0.001, 'n_estimators': 250}",10.426081308074762,10.107673603538974,10.074531830884712,10.281223708814053,9.550963839135505,10.088094858089601,0.29685370398858646,11,AdaBoost DT Regression,Full Dataset
11.678122568130494,1.4381583937630291,0.16122913360595703,0.017995157684583898,0.001,500,"{'learning_rate': 0.001, 'n_estimators': 500}",10.279321176974847,10.063626386374763,10.00604298471858,10.190813321467868,9.547028950537223,10.017366564014656,0.2538462771784005,8,AdaBoost DT Regression,Full Dataset
1.129683828353882,0.14847852890526453,0.01780104637145996,0.001167040031794199,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",10.34851237688105,10.213589688581578,10.12478684939909,10.289201476485225,9.532813006421907,10.10178067955377,0.29419647754799527,12,AdaBoost DT Regression,Full Dataset
2.5590970516204834,0.28061794896394343,0.04320073127746582,0.0054169752323166825,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",10.1281415271361,10.112420537706498,9.947939153321881,10.021491040928906,9.470983562263582,9.936195164271394,0.2415507942258098,7,AdaBoost DT Regression,Full Dataset
5.946589756011963,0.507533325444179,0.10680131912231446,0.027852855194628618,0.01,250,"{'learning_rate': 0.01, 'n_estimators': 250}",10.036261501399533,10.020516879338,9.817175760355518,9.712969615909735,9.405499629686435,9.798484677337845,0.23148889683045643,3,AdaBoost DT Regression,Full Dataset
10.943293190002441,0.6553343032561131,0.18400588035583496,0.02936298663923247,0.01,500,"{'learning_rate': 0.01, 'n_estimators': 500}",9.989325054970719,10.001037995116048,9.78154166872529,9.704446533489223,9.46082761387696,9.787435773235647,0.1999900174574147,2,AdaBoost DT Regression,Full Dataset
1.2373175144195556,0.18577166844792864,0.02200169563293457,0.008580290600895829,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",9.964730875026552,10.052146699841824,9.766004055636419,9.793271234318116,9.433026653832364,9.801835903731055,0.21286982126822618,4,AdaBoost DT Regression,Full Dataset
2.1697486877441405,0.19684046640229486,0.03320202827453613,0.0024024573977035144,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",9.937000138129473,9.969683609378718,9.779342130958783,9.686915588831361,9.534089549621994,9.781406203384066,0.16109383476671377,1,AdaBoost DT Regression,Full Dataset
4.764425754547119,0.34862373671078106,0.0806570053100586,0.004389368454834445,0.1,250,"{'learning_rate': 0.1, 'n_estimators': 250}",10.014236241638535,10.184236784656012,9.930205448072742,9.7844820655116,9.736996375552483,9.930031383086273,0.16134310810795818,5,AdaBoost DT Regression,Full Dataset
4.592278146743775,1.4690509762068757,0.06919965744018555,0.02619530688371222,0.1,500,"{'learning_rate': 0.1, 'n_estimators': 500}",9.963640586249547,10.161648412924764,9.903799754750159,9.70967951830579,9.932793176535208,9.934312289753093,0.14417702062359256,6,AdaBoost DT Regression,Full Dataset
0.8516413688659668,0.11385901132395963,0.017398643493652343,0.0010207498735644407,1,50,"{'learning_rate': 1, 'n_estimators': 50}",10.139924692050087,10.337597656125322,10.068738803634941,9.778226978224419,9.971103952366517,10.059118416480256,0.18483475804752136,9,AdaBoost DT Regression,Full Dataset
1.335918140411377,0.35034343239597393,0.032200860977172854,0.012480685999380363,1,100,"{'learning_rate': 1, 'n_estimators': 100}",10.166405492352855,10.329086337487556,10.02678563149119,9.828440263552718,9.963220785602335,10.06278770209733,0.1719186153787926,10,AdaBoost DT Regression,Full Dataset
2.671496629714966,0.7646509406692887,0.05300149917602539,0.016625835516585127,1,250,"{'learning_rate': 1, 'n_estimators': 250}",10.52244893742359,10.423075921400072,10.303383355505883,9.899801232505004,10.121511658152786,10.254044220997466,0.2218558689082053,16,AdaBoost DT Regression,Full Dataset
3.2012491703033445,1.8919812794123996,0.06880040168762207,0.04190714103685611,1,500,"{'learning_rate': 1, 'n_estimators': 500}",10.096711131383241,10.621056014493758,10.237517805178701,9.947889083246164,10.13321156940052,10.207277120740477,0.22676867940876183,15,AdaBoost DT Regression,Full Dataset
