mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_score,std_test_score,rank_test_score,Model Type,Training Data
5.925852870941162,0.2016264617830286,0.0940010070800781,0.0080979598032393,"{'max_depth': 25, 'max_features': 10, 'n_estimators': 250}",9.215635411899417,0.8417795552579794,1,Random Forest,Full Dataset
2.419739580154419,0.0836920749994233,0.0405985355377197,0.0033221856016217,"{'max_depth': 25, 'max_features': 10, 'n_estimators': 100}",9.228283760883263,0.8143676764288119,2,Random Forest,Full Dataset
4.278360986709595,0.1715406102454139,0.0738019466400146,0.0043996027159419,"{'max_depth': 10, 'max_features': 10, 'n_estimators': 250}",9.228702420209274,0.8619600648270718,3,Random Forest,Full Dataset
8.772930145263672,0.3394378739087141,0.0688391208648681,0.0032785240458657,"{'max_depth': 25, 'max_features': 20, 'n_estimators': 250}",9.246511849597574,0.8847996914407141,4,Random Forest,Full Dataset
4.244266128540039,0.1236002051497378,0.0394005298614501,0.0028709073561136,"{'max_depth': 25, 'max_features': 20, 'n_estimators': 100}",9.247335097485337,0.8918590668313864,5,Random Forest,Full Dataset
1.7621399879455566,0.1112854836911537,0.0320014953613281,0.001096674026444,"{'max_depth': 10, 'max_features': 10, 'n_estimators': 100}",9.253899695521463,0.8230204873071948,6,Random Forest,Full Dataset
3.600090503692627,0.1121287124635924,0.0922003746032714,0.00213506923879,"{'max_depth': 25, 'max_features': 5, 'n_estimators': 250}",9.27021891366863,0.8780758363867892,7,Random Forest,Full Dataset
7.830069446563721,0.2301780692769702,0.0735993862152099,0.0035550013937109,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 250}",9.27264757851736,0.8918082813889479,8,Random Forest,Full Dataset
1.6012666702270508,0.2444910085201626,1.5136003494262695,1.6007522370229432,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",9.274834451997489,0.9736026303091294,1,SVM,Full Dataset
1.447556447982788,0.1127427743150575,0.6542614459991455,0.054842404063366,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",9.280997613067036,0.9687305191096148,2,SVM,Full Dataset
1.444416046142578,0.0468063076937028,0.0418039321899414,0.0025623165444339,"{'max_depth': 25, 'max_features': 5, 'n_estimators': 100}",9.2891903423337,0.8670812821283537,9,Random Forest,Full Dataset
3.062147092819214,0.1233753789860514,0.0314012050628662,0.0019604704540886,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 100}",9.292333110503172,0.8543780306478757,10,Random Forest,Full Dataset
1.0124825954437255,0.0206633635994563,0.0413994789123535,0.013632904757943,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 100}",9.343089860849002,0.8599917144429811,11,Random Forest,Full Dataset
2.7025146007537844,0.1432656167071195,0.0801977157592773,0.0082298468808885,"{'max_depth': 10, 'max_features': 5, 'n_estimators': 250}",9.345468736885817,0.8861831808094366,12,Random Forest,Full Dataset
0.0071994304656982,0.0007491376515207,0.2617976665496826,0.0244547226579694,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}",9.778597953577728,0.9184399834761569,1,Random Forest,Full Dataset
0.006603193283081,0.0013535237331614,0.1237963199615478,0.0148957596728569,"{'n_neighbors': 20, 'p': 2, 'weights': 'distance'}",9.795674245158866,0.9102102928230508,2,Random Forest,Full Dataset
3.813255548477173,0.3774493893102175,0.6848568916320801,0.0777616205712065,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",9.806763325152946,0.7910819548173154,3,SVM,Full Dataset
0.0060072898864746,0.0006325641224965,0.2531980037689209,0.0216458560997268,"{'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",9.808240535551873,0.8479306851788103,3,Random Forest,Full Dataset
0.0080002784729003,0.0023646892113413,0.1402055263519287,0.0271086423439832,"{'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",9.815329854372347,0.8554369011319659,4,Random Forest,Full Dataset
0.0062023162841796,0.0004021251920273,0.2614003658294678,0.0178057176706639,"{'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",9.82055629061171,0.9215670034647374,5,Random Forest,Full Dataset
0.1019442081451416,0.047545774163264,0.0039408206939697,0.0009900857913142,{'alpha': 0.01},9.83805858732572,0.8800007973146086,1,Lasso Regression,Full Dataset
0.1019442081451416,0.047545774163264,0.0039408206939697,0.0009900857913142,{'alpha': 0.01},9.83805858732572,0.8800007973146086,1,Lasso Regression,Full Dataset
0.0092002868652343,0.0014689060829132,0.0064009189605712,0.0022463935905478,{'alpha': 0.1},9.838779342051309,0.8819722103185502,1,Ridge Regression,Full Dataset
0.0065998554229736,0.0012015001230983,0.0029984951019287,0.0006338495491038,{'alpha': 10},9.838784368107833,0.8802218186166215,2,Ridge Regression,Full Dataset
0.0084011077880859,0.0013566405101384,0.0035972118377685,0.0004914110198418,{'alpha': 1},9.838962914333456,0.8815214250169433,3,Ridge Regression,Full Dataset
0.0813391685485839,0.0522049955134875,0.0056021213531494,0.0037199880249897,{'alpha': 0.001},9.839189715909622,0.8812311551047797,2,Lasso Regression,Full Dataset
0.0813391685485839,0.0522049955134875,0.0056021213531494,0.0037199880249897,{'alpha': 0.001},9.839189715909622,0.8812311551047797,2,Lasso Regression,Full Dataset
0.0067943572998046,0.0003986439806737,0.1278027057647705,0.0067612998438955,"{'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}",9.843965642807344,0.910547636318465,6,Random Forest,Full Dataset
