PLAYER	2020/21 	2020/21(*)
125.	Anthony Edwards	$9,757,440	$10,283,507
126.	Al-Farouq Aminu	$9,720,900	$10,244,997
127.	Dante Exum	$9,600,000	$10,117,579
128.	George Hill	$9,590,602	$10,107,674
129.	De'Anthony Melton	$9,571,712	$10,087,766
130.	Kyle Anderson	$9,505,100	$10,017,562
131.	Meyers Leonard	$9,400,000	$9,906,796
132.	Derrick Favors	$9,258,000	$9,757,140
132.	Derrick Jones	$9,258,000	$9,757,140
132.	Jae Crowder	$9,258,000	$9,757,140
132.	Montrezl Harrell	$9,258,000	$9,757,140
132.	Serge Ibaka	$9,258,000	$9,757,140
132.	Tristan Thompson	$9,258,000	$9,757,140
138.	Dario Saric	$9,250,000	$9,748,709
139.	Ja Morant	$9,166,800	$9,661,023
140.	Delon Wright	$9,000,000	$9,485,230
141.	Marvin Bagley	$8,963,640	$9,446,910
142.	Cedi Osman	$8,840,580	$9,317,215
143.	Tyus Jones	$8,817,143	$9,292,514
144.	James Wiseman	$8,730,240	$9,200,926
145.	Royce O'Neale	$8,500,000	$8,958,273
146.	Maxi Kleber	$8,475,000	$8,931,925
147.	Thomas Bryant	$8,333,333	$8,782,620
148.	RJ Barrett	$8,231,760	$8,675,571
149.	Jakob Poeltl	$8,101,852	$8,538,659
150.	De'Aaron Fox	$8,099,627	$8,536,314
151.	Luka Doncic	$8,049,360	$8,483,337
152.	Mason Plumlee	$8,000,000	$8,431,316
152.	Louis Williams	$8,000,000	$8,431,316
154.	PJ Tucker	$7,969,537	$8,399,210
155.	LaMelo Ball	$7,839,960	$8,262,647
156.	Seth Curry	$7,834,449	$8,256,839
157.	Derrick Rose	$7,682,926	$8,097,147
158.	Cristiano Felicio	$7,529,020	$7,934,943
159.	Rajon Rondo	$7,500,000	$7,904,358
160.	De'Andre Hunter	$7,422,000	$7,822,153
161.	Jonathan Isaac	$7,362,565	$7,759,514
162.	Doug McDermott	$7,333,333	$7,728,706
163.	Robin Lopez	$7,300,000	$7,693,575
164.	Jaren Jackson Jr	$7,257,360	$7,648,637
165.	JaMychal Green	$7,199,760	$7,587,931
166.	Nemanja Bjelica	$7,150,000	$7,535,488
167.	Patrick Williams	$7,068,360	$7,449,447
168.	Aron Baynes	$7,000,000	$7,377,401
168.	Darius Miller	$7,000,000	$7,377,401
168.	Ivica Zubac	$7,000,000	$7,377,401
171.	Jabari Parker	$6,930,729	$7,304,395
172.	Lauri Markkanen	$6,731,508	$7,094,433
173.	Darius Garland	$6,720,720	$7,083,064
174.	DJ Augustin	$6,666,667	$7,026,097
175.	Trae Young	$6,571,800	$6,926,115
176.	Chris Boucher	$6,500,000	$6,850,444
177.	Juan Hernangomez	$6,493,000	$6,843,066
178.	Joakim Noah	$6,431,666	$6,778,426
179.	Isaac Okoro	$6,400,920	$6,746,022
180.	Frank Ntilikina	$6,176,578	$6,509,585
181.	DeMarre Carroll	$6,119,676	$6,449,615
182.	Jarrett Culver	$6,104,280	$6,433,389
183.	Ishmael Smith	$6,000,000	$6,323,487
183.	Alec Burks	$6,000,000	$6,323,487
185.	Mo Bamba	$5,969,040	$6,290,857
186.	Onyeka Okongwu	$5,813,640	$6,127,079
187.	Justin Holiday	$5,720,400	$6,028,812
188.	Dennis Smith	$5,686,677	$5,993,271
189.	Avery Bradley	$5,635,000	$5,938,808
190.	Timofey Mozgov	$5,573,333	$5,873,816
191.	Coby White	$5,572,680	$5,873,128
192.	Trey Lyles	$5,500,000	$5,796,529
193.	Wendell Carter	$5,448,840	$5,742,611
194.	Zach Collins	$5,406,255	$5,697,730
195.	Malik Monk	$5,345,687	$5,633,897
196.	Killian Hayes	$5,307,120	$5,593,250
197.	Luke Kennard	$5,273,826	$5,558,161
198.	Ryan Anderson	$5,214,583	$5,495,724
199.	Donovan Mitchell	$5,195,501	$5,475,613
200.	Rodney McGruder	$5,192,307	$5,472,247
201.	Bam Adebayo	$5,115,492	$5,391,291
202.	Justin Jackson	$5,109,637	$5,385,120
203.	Jaxson Hayes	$5,105,160	$5,380,402
204.	Richaun Holmes	$5,005,350	$5,275,211
204.	Enes Kanter	$5,005,350	$5,275,211
204.	Mike Scott	$5,005,350	$5,275,211
204.	Ed Davis	$5,005,350	$5,275,211
208.	Nerlens Noel	$5,000,000	$5,269,572
208.	Luol Deng	$5,000,000	$5,269,572
208.	Daniel Theis	$5,000,000	$5,269,572
211.	Collin Sexton	$4,991,880	$5,261,014
212.	Pat Connaughton	$4,938,273	$5,204,517
213.	Obi Toppin	$4,862,040	$5,124,174
214.	Kevon Looney	$4,821,429	$5,081,374
215.	Elfrid Payton	$4,767,000	$5,024,010
215.	Josh Jackson	$4,767,000	$5,024,010
215.	Garrett Temple	$4,767,000	$5,024,010
215.	Kris Dunn	$4,767,000	$5,024,010
219.	Rui Hachimura	$4,692,840	$4,945,852
220.	Denzel Valentine	$4,642,800	$4,893,114
221.	Kevin Knox	$4,588,680	$4,836,076
222.	DJ Wilson	$4,548,280	$4,793,498
223.	Deni Avdija	$4,469,160	$4,710,112
224.	Cam Reddish	$4,458,000	$4,698,350
225.	TJ Leaf	$4,431,423	$4,670,340
226.	Mikal Bridges	$4,359,000	$4,594,013
227.	Jalen Smith	$4,245,720	$4,474,625
228.	Cameron Johnson	$4,235,160	$4,463,496
229.	Reggie Bullock	$4,200,000	$4,426,440
229.	JaVale McGee	$4,200,000	$4,426,440
231.	Shai Gilgeous-Alexander	$4,141,320	$4,364,597
232.	John Collins	$4,137,302	$4,360,362
233.	Willie Cauley-Stein	$4,100,000	$4,321,049
234.	Devin Vassell	$4,033,440	$4,250,900
235.	PJ Washington	$4,023,600	$4,240,530
236.	Patrick McCaw	$4,000,000	$4,215,658
236.	Dorian Finney-Smith	$4,000,000	$4,215,658
238.	Alex Len	$3,970,648	$4,184,722
239.	Terrance Ferguson	$3,944,013	$4,156,652
240.	Miles Bridges	$3,934,320	$4,146,436
241.	Austin Rivers	$3,929,049	$4,140,880
242.	Jevon Carter	$3,925,000	$4,136,614
243.	Jarrett Allen	$3,909,902	$4,120,702
244.	Nicolo Melli	$3,897,436	$4,107,564
245.	OG Anunoby	$3,872,215	$4,080,983
246.	Gabriel Deck	$3,870,370	$4,079,039
247.	Tyrese Haliburton	$3,831,840	$4,038,431
248.	Tyler Herro	$3,822,240	$4,028,314
