Player,Year,Salary
Ryan Anderson,2021,5214583
Hamidou Diallo,2021,5200000
Kevon Looney,2021,5178572
Troy Brown,2021,5170564
Obi Toppin,2021,5105160
Franz Wagner,2021,5007840
Kris Dunn,2021,5005350
Josh Jackson,2021,5005350
Kendrick Nunn,2021,5000000
Louis Williams,2021,5000000
Luol Deng,2021,5000000
Robin Lopez,2021,5000000
JaVale McGee,2021,5000000
Danuel House,2021,4997424
Rui Hachimura,2021,4916160
Garrett Temple,2021,4910000
Taj Gibson,2021,4910000
Torrey Craig,2021,4878049
Bruce Brown,2021,4736102
Deni Avdija,2021,4692840
Donte DiVincenzo,2021,4675830
Cam Reddish,2021,4670160
David Nwaba,2021,4650000
Furkan Korkmaz,2021,4629630
Davion Mitchell,2021,4603200
Ishmael Smith,2021,4500000
Jeff Green,2021,4500000
Bryn Forbes,2021,4500000
Jalen Smith,2021,4458000
Lonnie Walker,2021,4447896
Cameron Johnson,2021,4437000
Ziaire Williams,2021,4373040
Bobby Portis,2021,4347600
Moe Harkless,2021,4347600
Kevin Huerter,2021,4253357
Devin Vassell,2021,4235160
Chandler Hutchison,2021,4224186
Willie Cauley-Stein,2021,4220083
PJ Washington,2021,4215120
James Bouknight,2021,4154400
Jevon Carter,2021,4107149
Josh Okogie,2021,4087904
Grayson Allen,2021,4054695
Jarred Vanderbilt,2021,4050000
Tyrese Haliburton,2021,4023600
Tyler Herro,2021,4004280
Dorian Finney-Smith,2021,4000000
Terence Davis,2021,4000000
Gorgui Dieng,2021,4000000
Aaron Holiday,2021,3980551
Josh Primo,2021,3946800
Jake Layman,2021,3940184
Anfernee Simons,2021,3938818
Justise Winslow,2021,3902439
Kira Lewis,2021,3822240
Romeo Langford,2021,3804360
Sekou Doumbouya,2021,3799131
Landry Shamet,2021,3768342
Chris Duarte,2021,3749400
Alex Len,2021,3732000
Robert Williams,2021,3661976
Aaron Nesmith,2021,3631200
Moses Moody,2021,3562200
Boban Marjanovic,2021,3500000
Mike Muscala,2021,3500000
Cole Anthony,2021,3449400
Luka Samanic,2021,3421709
Corey Kispert,2021,3383640
Georges Niang,2021,3300000
Michael Carter-Williams,2021,3300000
Isaiah Stewart,2021,3277080
Chuma Okeke,2021,3277080
Nickeil Alexander-Walker,2021,3261480
Alperen Sengun,2021,3214680
Facundo Campazzo,2021,3200000
Jon Leuer,2021,3169348
Trey Burke,2021,3150000
Aleksej Pokusevski,2021,3113160
Goga Bitadze,2021,3098400
Trey Murphy,2021,3053760
Sterling Brown,2021,3000000
Frank Jackson,2021,3000000
Josh Green,2021,2957520
Tre Mann,2021,2901240
Andrew Nicholson,2021,2844429
Matisse Thybulle,2021,2840160
Saddiq Bey,2021,2824320
Kai Jones,2021,2770560
Brandon Clarke,2021,2726880
Precious Achiuwa,2021,2711280
Marc Gasol,2021,2692991
Jalen Johnson,2021,2659680
LaMarcus Aldridge,2021,2641691
James Johnson,2021,2641691
Ed Davis,2021,2641691
Andre Iguodala,2021,2641691
Enes Kanter,2021,2641691
Carmelo Anthony,2021,2641691
Trevor Ariza,2021,2641691
Avery Bradley,2021,2641691
Wayne Ellington,2021,2641691
Dwight Howard,2021,2641691
Udonis Haslem,2021,2641691
Markieff Morris,2021,2641691
E'Twaun Moore,2021,2641691
Paul Millsap,2021,2641691
Grant Williams,2021,2617800
Tyrese Maxey,2021,2602920
Keon Johnson,2021,2553240
Darius Bazley,2021,2513040
Trey Lyles,2021,2500000
Zeke Nnaji,2021,2498760
Isaiah Jackson,2021,2451240
Ty Jerome,2021,2412840
Andre Drummond,2021,2401537
Austin Rivers,2021,2401537
Kent Bazemore,2021,2401537
Hassan Whiteside,2021,2401537
Otto Porter,2021,2389641
Victor Oladipo,2021,2389641
Tony Snell,2021,2389641
Solomon Hill,2021,2389641
Ben McLemore,2021,2389641
Cody Zeller,2021,2389641
Usman Garuba,2021,2353320
Leandro Bolmaro,2021,2353320
Willy Hernangomez,2021,2327220
Edmond Sumner,2021,2320000
Nassir Little,2021,2316240
RJ Hampton,2021,2303040
DeAndre Bembry,2021,2271045
Josh Christopher,2021,2259240
Monta Ellis,2021,2245400
Rodney Hood,2021,2239544
Elfrid Payton,2021,2239544
Dylan Windler,2021,2239200
Immanuel Quickley,2021,2210640
John Konchar,2021,2200000
Quentin Grimes,2021,2168640
Jordan Poole,2021,2161440
Bol Bol,2021,2161152
Keldon Johnson,2021,2145720
Payton Pritchard,2021,2137440
Jahlil Okafor,2021,2130023
Bones Hyland,2021,2096880
Nemanja Bjelica,2021,2089448
Frank Kaminsky,2021,2089448
Raul Neto,2021,2089448
Udoka Azubuike,2021,2075880
Jaden McDaniels,2021,2063280
Malachi Flynn,2021,2048040
DeMarcus Cousins,2021,2038942
Cam Thomas,2021,2036280
Desmond Bane,2021,2033160
Jaden Springer,2021,2023680
Day'Ron Sharpe,2021,2009160
Jordan McLaughlin,2021,2000000
Garrison Mathews,2021,2000000
Jeremiah Robinson-Earl,2021,2000000
Kenrich Williams,2021,2000000
Theo Maledon,2021,2000000
Abdel Nader,2021,2000000
Santiago Aldama,2021,1994520
Damian Jones,2021,1977011
Drew Eubanks,2021,1961556
Wesley Matthews,2021,1958495
Timothe Luwawu,2021,1939350
Rodney McGruder,2021,1939350
Wesley Iwundu,2021,1926834
Damion Lee,2021,1910860
PJ Dozier,2021,1910860
Killian Tillie,2021,1901625
Tyrell Terry,2021,1869438
Larry Sanders,2021,1865546
Shake Milton,2021,1846738
Jalen Brunson,2021,1802057
Mitchell Robinson,2021,1802057
Tony Bradley,2021,1789256
Frank Ntilikina,2021,1789256
Semi Ojeleye,2021,1789256
Malik Monk,2021,1789256
Dennis Smith,2021,1789256
Didi Louzada,2021,1786878
Kevin Porter,2021,1782621
Jalen McDaniels,2021,1782621
Terance Mann,2021,1782621
Jaylen Nowell,2021,1782621
