Year,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,ORTG,DRTG,TO_100_Games,Salary,Cap Maximum,Salary%OfCap,Traded,Center,Forward,Guard,Salary_Scaled,Salary_BoxCox,Salary_Scaled_BoxCox
2017,Josh McRoberts,Dal,PF,30.0,2,2.9,6.0,7.8,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,6021175.0,99093000,0.0608,0,0,1,0,6830597.180931045,70.43467014310922,91.80954695174962
2016,Jerami Grant,Phi,SF,22.0,80,19.85,41.349999999999994,18.3,147,0.5595,212,0.4615,116,0.1885,0.3766635142803102,0.478,6.7,2.8,7.7,0.3,2.15,0.21,1.48,2.15,,,11.350000000000001,980431.0,94143000,0.0104,0,0,1,0,1170710.2008009092,51.01749187809319,64.98168469871456
2018,Jonah Bolden,Phi,F,23.27,44,14.5,30.2,13.8,27,0.481,66,0.697,96,0.354,0.3888518518518518,0.595,4.7,3.8,13.7,0.9,8.5,0.39,0.89,7.0,111.4,96.2,17.2,1690000.0,101869000,0.0166,0,0,1,0,1864940.8554123433,56.25928402344053,71.24557794070058
2020,Gary Payton II,Gol,G,28.46,10,4.0,8.4,16.7,4,0.75,9,0.889,4,0.5,0.6923846153846154,0.847,2.5,1.1,14.5,0.1,4.0,0.6,0.1,6.5,152.6,83.7,6.3,249864.0,109140000,0.0023,0,0,0,1,257359.4621220451,39.71409815008538,47.92965979303221
2015,Jae Crowder,Bos,SF,25.0,73,31.6,65.9,18.5,239,0.82,450,0.529,363,0.336,0.36781549815498155,0.565,14.2,5.1,8.6,1.8,8.9,1.73,0.48,6.4,,,8.3,6796117.0,70000000,0.0971,0,0,1,0,10913981.377685715,71.94288154987866,100.51726679925376
2019,Jamal Crawford,Bro,G,40.4,1,6.0,12.5,27.9,0,0.0,2,0.5,2,0.5,0.375,0.625,5.0,0.0,0.0,3.0,100.3,0.0,0.0,0.0,155.0,100.9,0.0,289803.0,109140000,0.0027,0,0,0,1,298496.55893347994,40.82340173351655,49.39799491068045
2014,Kelly Olynyk,Bos,C,23.0,64,22.2,46.3,21.4,136,0.684,353,0.538,175,0.349,0.41752178030303033,0.558,10.3,4.8,11.7,1.7,12.2,1.0,0.61,7.9,,,14.299999999999999,2075760.0,63065000,0.0329,0,1,0,0,3700063.1830650913,58.3611533420632,81.48906453388977
2018,Skal Labissiere,Sac,F,23.06,22,7.85,16.4,16.200000000000003,17,0.5225,36,0.5605,13,0.6819999999999999,0.4992298245614035,0.6165,3.0999999999999996,1.9500000000000002,13.45,0.55,9.3,0.24,0.28,7.800000000000001,112.5,96.30000000000001,16.15,1544951.0,101869000,0.0152,0,0,1,0,1704877.0647989083,55.363474985253724,69.99650444599325
2018,Joel Embiid,Phi,F-C,25.07,64,33.7,70.1,33.3,649,0.804,936,0.535,263,0.3,0.45055045871559635,0.593,27.5,13.6,21.4,3.7,18.4,0.72,1.91,13.2,113.7,98.7,13.3,25467250.0,101869000,0.25,0,1,1,0,28103500.0,90.4593592641785,120.53864910216649
2019,Ja Morant,Mem,G,21.01,67,31.0,64.5,25.9,308,0.776,758,0.511,179,0.335,0.44537940234791895,0.556,17.8,3.9,6.5,7.3,35.2,0.88,0.27,10.3,108.4,110.7,17.0,8730240.0,109140000,0.08,0,0,0,1,8992131.20175921,75.1575948855755,96.82747605170944
2021,Lance Stephenson,Atl,F,31.55,36,15.45,32.2,17.1,56,0.6295,178,0.515,69,0.129,0.4007564102564103,0.46,5.4,2.75,10.25,2.9499999999999997,25.8,0.335,0.05,8.45,98.55000000000001,105.30000000000001,19.6,1614825.0,112414000,0.0144,0,0,1,0,1614825.0,55.803435884965616,69.25103975418482
2018,Ian Clark,Nor,G,28.1,60,16.2,33.8,19.3,37,0.892,181,0.47,202,0.327,0.30834725848563965,0.502,6.7,1.5,4.7,1.6,12.9,0.37,0.13,6.2,97.9,108.5,12.7,1757429.0,101869000,0.0173,0,0,0,1,1939349.7885126977,56.653908907297556,71.79660324562552
2015,Al Jefferson,Cha,C,31.0,47,23.3,48.6,24.2,111,0.649,505,0.485,0,0.0,0.485,0.507,12.0,6.4,15.0,1.5,11.8,0.64,0.87,8.4,,,5.800000000000001,13500000.0,70000000,0.1929,0,1,0,0,21679842.857142854,81.07139817770744,114.696232192232
