Year,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,ORTG,DRTG,TO_100_Games,Salary,Cap Maximum,Salary%OfCap,Traded,Center,Forward,Guard,Salary_Scaled,Salary_BoxCox,Salary_Scaled_BoxCox
2017,Elfrid Payton,Orl,PG,23.0,63,28.8,59.95,21.950000000000003,168,0.6585000000000001,575,0.506,92,0.2865,0.4578280776623974,0.5225,12.4,4.65,8.649999999999999,6.25,34.55,1.225,0.33999999999999997,9.85,103.4,105.9,18.55,3332340.0,99093000,0.0336,0,0,0,1,3780304.0452907872,63.47301861080701,81.83103247474246
2015,Kendall Marshall,Phi,PG,24.0,30,13.3,27.8,18.3,13,0.692,69,0.391,49,0.327,0.2965296610169491,0.449,3.7,0.9,3.8,2.4,28.4,0.53,0.07,6.0,,,25.8,2144772.0,70000000,0.0306,0,0,0,1,3444319.9943999997,58.70196984847928,80.35711714380423
2017,Sindarius Thornwell,Lac,SG,23.0,73,15.8,33.0,12.1,88,0.67,172,0.448,61,0.377,0.3800622317596566,0.519,3.9,1.9,6.7,0.9,7.8,0.66,0.34,4.8,100.9,102.7,16.3,815615.0,99093000,0.0082,0,0,0,1,925257.5319144642,49.34702227155341,62.01355957202425
2020,Jeff Green,Bro,F,34.72,68,27.0,56.2,15.6,161,0.776,280,0.564,250,0.412,0.3951320754716981,0.624,11.0,3.9,7.9,1.6,7.8,0.53,0.4,6.1,121.8,111.0,8.2,2564753.0,109140000,0.0235,0,0,1,0,2641690.890067803,60.59754004546669,76.29104391650633
2015,Boris Diaw,San,PF,33.0,76,18.2,38.0,17.0,76,0.737,314,0.564,69,0.362,0.49499999999999994,0.582,6.4,3.1,9.6,2.3,18.4,0.34,0.28,7.9,,,18.9,7500000.0,70000000,0.1071,0,0,1,0,12044357.142857142,73.19246814910156,102.44541483997168
2015,James Ennis,Nor,SF,25.0,9,31.3,65.2,20.0,24,0.792,50,0.52,50,0.48,0.38,0.647,15.9,3.9,6.9,2.0,10.3,1.33,0.33,6.4,,,13.3,944477.0,70000000,0.0135,0,0,1,0,1516749.1068285713,50.6743826382567,68.39946398642253
2018,Andre Drummond,Det,C,25.67,79,33.5,69.8,23.0,412,0.59,1016,0.547,38,0.132,0.5296584440227705,0.555,17.3,15.6,25.5,1.4,7.2,1.73,1.76,8.6,113.1,95.5,12.4,25434262.0,101869000,0.2497,0,1,0,0,28067097.23731459,90.43919397947249,120.5087740406884
2021,Naji Marshall,Nor,F,24.16,45,12.8,26.7,21.4,67,0.761,128,0.539,92,0.217,0.3589727272727273,0.499,5.5,2.7,11.5,1.0,11.6,0.6,0.11,7.7,101.1,105.0,12.9,1517981.0,112414000,0.0135,0,0,1,0,1517981.0,55.189183360563185,68.41043572445139
2018,Tristan Thompson,Cle,F-C,28.08,43,27.9,58.0,17.7,106,0.642,380,0.529,0,0.0,0.529,0.551,10.9,10.2,20.4,2.0,11.2,0.63,0.37,8.7,118.0,110.1,12.1,17469565.0,101869000,0.1715,0,1,1,0,19277932.245432857,84.76884664771558,112.14247772681841
2021,Jalen Green,Hou,G,20.12,57,31.2,64.9,23.0,190,0.8,402,0.493,358,0.324,0.33708157894736845,0.531,15.7,3.2,5.7,2.7,13.5,0.68,0.25,6.6,101.8,117.1,12.2,8992080.0,112414000,0.08,0,0,0,1,8992080.0,75.54553956526495,96.82736949281907
2017,Dario Saric,Phi,PF,23.0,78,29.6,61.7,20.9,207,0.86,491,0.501,399,0.393,0.36448820224719103,0.582,14.6,6.7,12.1,2.6,13.0,0.65,0.26,8.6,113.1,102.3,13.100000000000001,2422560.0,99093000,0.0244,0,0,1,0,2748222.980836184,59.9870135048647,76.88451634065815
2015,Chandler Parsons,Dal,SF,27.0,61,29.5,61.4,20.5,136,0.684,400,0.54,251,0.414,0.4116082949308756,0.589,13.7,4.7,8.7,2.8,16.0,0.75,0.34,7.7,,,11.799999999999999,15361500.0,70000000,0.2194,0,0,1,0,24669252.299999997,82.90509932089098,117.5696944068683
2014,Earl Barron,Pho,C,33.0,16,8.9,18.6,15.4,12,0.5,35,0.286,4,0.5,0.2823076923076923,0.361,2.0,1.8,10.7,0.3,4.9,0.25,0.13,4.6,,,10.100000000000001,390063.0,63065000,0.0062,0,1,0,0,695291.240497899,43.12730637287689,58.576696263782665
2021,Jonathan Kuminga,Gol,F,19.46,60,16.5,34.5,22.8,152,0.691,257,0.611,131,0.328,0.46007989690721646,0.602,9.1,3.3,10.7,0.8,7.9,0.42,0.3,7.0,111.4,97.3,12.3,5466360.0,112414000,0.0486,0,0,1,0,5466360.0,69.25133921496354,87.92433287236564
2017,Richaun Holmes,Phi,PF,24.0,48,15.5,32.4,16.7,56,0.661,211,0.621,31,0.129,0.5497128099173555,0.583,6.5,4.4,15.3,1.3,12.3,0.42,0.6,8.6,121.0,93.8,8.6,1471382.0,99093000,0.0148,0,0,1,0,1669178.8133167832,54.88182153502005,69.70492933567903
2018,Angel Delgado,Lac,C,24.39,2,7.4,15.4,16.8,2,0.5,5,0.2,0,0.0,0.2,0.255,1.5,2.0,14.3,0.0,0.0,0.5,0.0,0.0,79.2,98.9,0.0,77250.0,101869000,0.0008,0,1,0,0,85246.55685242811,31.80730147244916,38.15721093781661
2020,Armoni Brooks,Hou,G,22.95,20,26.0,54.2,17.9,12,0.583,35,0.514,157,0.382,0.24988020833333335,0.565,11.2,3.4,7.0,1.5,8.6,0.6,0.25,5.9,105.1,113.1,10.0,135362.0,109140000,0.0012,0,0,0,1,139422.61194795676,35.399407985318675,42.26547815962506
2015,Jonas Valanciunas,Tor,C,23.0,60,25.9,54.1,20.9,213,0.761,536,0.565,0,0.0,0.565,0.61,12.8,9.1,20.1,0.7,4.8,0.42,1.33,6.7,,,11.899999999999999,4660482.0,70000000,0.0666,0,1,0,0,7484334.622114285,67.33877489459556,93.44977588472292
2014,James Michael McAdoo,Gol,PF,22.0,15,9.1,19.1,19.7,25,0.56,44,0.545,0,0.0,0.545,0.564,4.1,2.5,14.5,0.1,2.1,0.33,0.6,4.4,,,9.8,259634.0,63065000,0.0041,0,0,1,0,462800.2295409498,39.99850368356458,53.98100180454291
2014,Jusuf Nurkic,Den,C,20.0,62,17.8,37.1,20.9,132,0.636,381,0.449,2,0.0,0.4466553524804178,0.483,6.9,6.2,18.7,0.8,7.3,0.84,1.1,7.3,,,16.2,1762680.0,63065000,0.028,0,1,0,0,3141994.918258939,56.68410389334322,78.92675685880975
2016,Reggie Williams,Nor,SF,30.0,6,13.3,27.6,14.5,7,0.857,12,0.25,11,0.455,0.2392391304347826,0.518,4.5,1.0,4.0,0.7,7.1,0.5,0.0,4.4,,,0.0,193307.0,94143000,0.0021,0,0,1,0,230823.46109641716,37.855684082925315,46.877163869827484
2015,Amir Johnson,Bos,PF,28.0,79,22.8,47.5,13.6,121,0.57,383,0.624,43,0.233,0.5727734741784037,0.602,7.3,6.4,14.9,1.7,11.4,0.66,1.05,7.5,,,16.400000000000002,12000000.0,70000000,0.1714,0,0,1,0,19270971.42857143,79.43231348778923,112.13470772954652
2020,Justin Patton,Hou,C,23.92,13,19.0,39.5,13.1,4,0.75,36,0.556,34,0.265,0.3503,0.488,5.4,3.8,10.6,1.1,8.1,0.92,1.08,5.9,108.0,102.8,5.3,267623.0,109140000,0.0025,0,1,0,0,275651.19957852305,40.224465738548716,48.604615428440525
2015,Allen Crabbe,Por,SG,23.0,81,26.0,54.1,16.4,113,0.867,393,0.506,285,0.393,0.37590044247787613,0.572,10.3,2.7,5.6,1.2,7.2,0.78,0.2,5.0,,,8.1,947276.0,70000000,0.0135,0,0,0,1,1521244.0609142857,50.701483335191256,68.43946274595766
2021,Jevon Carter,Bro,G,26.52,58,15.35,32.0,13.1,18,0.85,62,0.37,157,0.44899999999999995,0.26748419540229884,0.597,4.75,1.9,6.6,1.6,13.05,0.275,0.235,6.199999999999999,121.2,109.69999999999999,11.0,4107149.0,112414000,0.0365,0,0,0,1,4107149.0,65.85766474185527,83.16547619951302
2017,Jusuf Nurkic,Por,C,23.0,79,26.4,55.1,26.4,273,0.63,944,0.508,7,0.0,0.5042607781282861,0.528,14.3,9.0,18.5,1.8,11.7,0.81,1.39,9.3,102.3,93.9,14.6,2947304.0,99093000,0.0297,0,1,0,0,3343507.935535305,62.10939335147929,79.89197366020925
2020,Al-Farouq Aminu,Orl,F,30.65,23,16.4,34.15,12.05,22,0.812,62,0.375,37,0.1965,0.2576511235955056,0.4255,3.5,4.300000000000001,14.25,1.0,7.45,0.665,0.265,5.4,85.0,105.2,20.15,9720900.0,109140000,0.0891,0,0,1,0,10012509.186366137,76.57753763053313,98.85886283759942
2021,Grayson Allen,Mil,G,26.46,60,27.4,57.1,15.5,65,0.862,167,0.515,365,0.403,0.2999107142857143,0.597,11.2,3.4,6.4,1.6,7.9,0.73,0.25,5.7,120.7,109.9,6.0,4054695.0,112414000,0.0361,0,0,0,1,4054695.0,65.70871909810458,82.95730417905028
2015,Paul Pierce,Lac,SF,38.0,68,18.1,37.7,17.8,66,0.818,155,0.445,242,0.31,0.2682241813602015,0.489,6.1,2.7,8.2,1.0,8.5,0.49,0.25,5.6,,,12.0,3376000.0,70000000,0.0482,0,0,1,0,5421566.628571428,63.6191682069034,87.78385928735175
2018,Isaiah Canaan,Pho,G,27.89,30,15.866666666666667,33.06666666666667,13.566666666666668,24,0.5833333333333334,68,0.2853333333333334,96,0.37166666666666665,0.24115833556090172,0.517,4.566666666666666,1.4333333333333333,4.966666666666666,2.2666666666666666,18.566666666666666,0.30666666666666664,0.13,5.933333333333333,104.10000000000001,110.8,17.966666666666665,744671.0,101869000,0.0073,0,0,0,1,821755.8412667249,48.53919374614443,60.56486414750101
2015,Jordan Hill,Ind,PF,28.0,73,20.7,43.2,20.3,125,0.712,548,0.507,1,0.0,0.5060765027322405,0.534,8.8,6.2,16.3,1.2,9.5,0.49,0.51,7.8,,,13.200000000000001,4000000.0,70000000,0.0571,0,0,1,0,6423657.142857143,65.551678180771,90.72255583000491
2020,Paul Reed,Phi,F,21.92,26,6.8,14.2,22.7,8,0.5,72,0.583,6,0.0,0.5381538461538461,0.54,3.4,2.3,18.9,0.5,10.9,0.38,0.5,9.3,110.7,91.8,12.8,609128.0,109140000,0.0056,0,0,1,0,627400.723767638,46.79698081078745,57.384149341781594
2016,CJ McCollum,Por,SG,25.0,80,34.9,72.8,27.5,294,0.912,1002,0.506,439,0.421,0.4159760582928522,0.585,23.0,3.6,5.7,3.6,18.0,0.9,0.53,7.7,,,9.9,3219579.0,94143000,0.0342,0,0,0,1,3844425.5409961445,63.087985104192576,82.10006567117418
2021,Naz Reid,Min,C-F,22.57,68,15.9,33.1,21.4,136,0.765,280,0.568,144,0.347,0.4340188679245283,0.591,8.4,4.0,13.2,0.9,8.6,0.51,0.96,7.8,114.7,100.0,12.8,1782621.0,112414000,0.0159,0,1,1,0,1782621.0,56.798088051194625,70.61463055460575
2016,Marcus Smart,Bos,PG,22.0,79,30.4,63.3,18.8,250,0.812,417,0.42,332,0.283,0.2965527369826435,0.486,10.6,3.9,7.1,4.6,22.0,1.58,0.43,7.6,,,15.6,3578880.0,94143000,0.038,0,0,0,1,4273458.635480068,64.27817777382563,83.81144767659897
2018,Vincent Edwards,Hou,F,23.01,2,7.9,16.4,11.1,0,0.0,0,0.0,4,0.25,0.125,0.375,1.5,1.0,7.0,0.0,0.0,0.0,0.0,0.0,95.6,118.8,0.0,77250.0,101869000,0.0008,0,0,1,0,85246.55685242811,31.80730147244916,38.15721093781661
2017,Zaza Pachulia,Gol,C,33.0,69,14.1,29.3,17.0,93,0.806,262,0.569,1,0.0,0.5668365019011405,0.614,5.4,4.7,18.5,1.6,15.2,0.55,0.25,9.8,117.6,95.6,19.400000000000002,3477600.0,99093000,0.0351,0,1,0,0,3945091.241560958,63.95322565160804,82.5151218219402
2019,Jaylen Hoard,Por,F,21.38,13,7.9,16.5,17.2,13,0.615,29,0.517,3,0.0,0.46853125,0.504,2.9,2.5,16.3,0.3,5.3,0.38,0.0,6.6,112.0,104.1,9.6,79568.0,109140000,0.0007,0,0,1,0,81954.89419094741,31.988652950226392,37.844073490438035
2014,Ray McCallum,Sac,PG,23.0,68,21.1,44.0,18.5,84,0.679,359,0.479,111,0.306,0.40200851063829784,0.496,7.4,2.6,7.1,2.8,21.3,0.66,0.16,7.2,,,14.399999999999999,816482.0,63065000,0.0129,0,0,0,1,1455387.4185047173,49.35652383407974,67.84350735815259
2016,Nik Stauskas,Phi,SG,23.0,80,27.3,57.0,16.4,150,0.813,275,0.433,359,0.368,0.29200473186119874,0.54,9.5,2.8,5.7,2.4,12.9,0.56,0.4,5.9,,,15.5,2993040.0,94143000,0.0318,0,0,0,1,3573920.509862656,62.278935896673694,80.93901790004804
2014,Tyler Johnson,Mia,SG,22.0,32,18.8,39.3,17.2,47,0.681,119,0.437,48,0.375,0.3652874251497006,0.506,5.9,2.5,8.1,1.3,11.3,1.03,0.28,5.7,,,13.8,280526.0,63065000,0.0044,0,0,0,1,500040.430730199,40.57773838831873,54.82868069470603
2021,LaMelo Ball,Cha,G,20.58,65,32.1,66.9,27.9,222,0.869,598,0.458,473,0.376,0.3387563025210084,0.545,19.6,6.8,11.1,7.4,35.0,1.52,0.46,12.4,110.7,104.8,14.8,8231760.0,112414000,0.0732,0,0,0,1,8231760.0,74.39123614059167,95.18738431930717
2018,Quinn Cook,Gol,G,26.05,74,14.3,29.8,20.2,26,0.769,239,0.515,200,0.405,0.3726309794988611,0.565,6.9,2.1,7.9,1.5,15.0,0.27,0.04,7.8,110.1,106.2,10.0,1544951.0,101869000,0.0152,0,0,0,1,1704877.0647989083,55.363474985253724,69.99650444599325
2021,Facundo Campazzo,Den,G,31.0,63,18.6,38.8,14.7,78,0.769,102,0.48,189,0.302,0.266319587628866,0.506,5.2,1.9,5.5,3.4,24.1,0.97,0.37,6.9,109.1,103.4,16.9,3200000.0,112414000,0.0285,0,0,0,1,3200000.0,63.019981222881064,79.2096568748656
2014,Nick Calathes,Mem,SG,25.0,58,14.4,30.1,18.2,45,0.533,203,0.458,44,0.25,0.39868016194331984,0.455,4.2,1.8,7.2,2.5,26.6,1.09,0.09,7.4,,,18.6,816482.0,63065000,0.0129,0,0,0,1,1455387.4185047173,49.35652383407974,67.84350735815259
2018,Marvin Williams,Cha,F,32.81,75,28.4,59.3,14.9,86,0.767,270,0.5,382,0.366,0.31427300613496933,0.548,10.1,5.4,10.3,1.2,6.1,0.92,0.8,5.7,112.7,107.2,6.3,14087500.0,101869000,0.1383,0,0,1,0,15545771.775515612,81.67189330939603,107.60281440936708
2013,Deron Williams,Bro,PG,29.0,64,32.0,65.8,21.9,216,0.801,448,0.5,268,0.366,0.38134636871508376,0.564,14.3,2.6,4.9,6.1,33.1,1.45,0.2,7.6,,,15.0,18466130.0,58679000,0.3147,0,0,0,1,35376395.9477837,85.58488035350254,125.95731299491995
2016,Blake Griffin,Lac,PF,27.0,61,34.0,70.9,28.0,421,0.76,858,0.514,113,0.336,0.47373429454170957,0.569,21.6,8.1,13.4,4.9,24.5,0.93,0.38,11.2,,,10.9,20093064.0,94143000,0.2134,0,0,1,0,23992667.500462063,86.84093619222068,116.9453327733457
2020,DeAndre Jordan,Bro,C,32.82,57,21.9,45.5,13.2,92,0.5,249,0.763,1,0.0,0.759948,0.733,7.5,7.5,18.9,1.6,10.1,0.3,1.14,8.2,126.5,104.9,22.6,10375678.0,109140000,0.0951,0,1,0,0,10686929.326479752,77.45072754681621,100.11042999280737
2019,Avery Bradley,Lal,G,29.72,49,24.2,50.4,15.7,24,0.833,210,0.51,173,0.364,0.36184334203655355,0.537,8.6,2.3,5.3,1.3,7.2,0.88,0.1,4.9,103.2,102.3,10.7,4767000.0,109140000,0.0437,0,0,0,1,4910001.264431006,67.6067849560054,86.10831603241903
2014,Spencer Hawes,Lac,PF,26.0,73,17.5,36.4,18.1,68,0.647,239,0.452,175,0.314,0.3273019323671498,0.479,5.8,3.5,11.4,1.2,10.0,0.33,0.73,6.6,,,12.1,5305000.0,63065000,0.0841,0,0,1,0,9456216.12621898,68.88828212337276,97.77355784921032
2017,Darius Miller,Nor,SF,27.0,82,23.7,49.4,12.8,67,0.866,129,0.535,358,0.411,0.29278028747433266,0.617,7.8,2.0,4.6,1.4,7.5,0.34,0.21,4.7,115.0,106.5,10.100000000000001,2100000.0,99093000,0.0212,0,0,1,0,2382301.474372559,58.481931588439075,74.75973014799284
2018,Jamal Crawford,Pho,G,39.06,64,18.9,39.4,20.8,110,0.845,236,0.453,202,0.332,0.3206392694063927,0.522,7.9,1.3,3.9,3.6,27.7,0.52,0.19,7.1,102.5,115.8,16.9,4698113.0,101869000,0.0461,0,0,0,1,5184439.572215296,67.43403999372389,87.02401796646595
2021,Devin Booker,Pho,G,25.39,61,34.3,71.5,31.9,298,0.872,826,0.502,436,0.376,0.39351822503961964,0.568,25.9,5.1,8.0,4.9,22.6,1.18,0.41,10.1,111.8,103.2,9.7,31650600.0,112414000,0.2816,0,0,0,1,31650600.0,93.90127703246203,123.30866357038346
2020,Josh Okogie,Min,G,22.71,59,20.3,42.3,12.1,108,0.769,146,0.5,108,0.269,0.3445905511811023,0.524,5.4,2.6,7.1,1.1,7.0,0.92,0.47,4.9,108.4,109.0,12.5,2651040.0,109140000,0.0243,0,0,0,1,2730566.3419461246,60.95431044110612,76.7874689437226
2015,Klay Thompson,Gol,SG,25.0,80,33.3,69.4,26.3,221,0.873,736,0.51,650,0.425,0.37047979797979796,0.597,22.1,3.8,6.2,2.1,9.8,0.75,0.61,6.7,,,8.5,15501000.0,70000000,0.2214,0,0,0,1,24893277.34285714,83.03486205386886,117.7733445600437
2018,Jordan McRae,Was,G,28.04,27,12.3,25.7,20.4,35,0.8,95,0.537,35,0.286,0.43092307692307696,0.55,5.9,1.5,6.5,1.1,13.2,0.48,0.22,6.9,108.8,110.1,9.4,77250.0,101869000,0.0008,0,0,0,1,85246.55685242811,31.80730147244916,38.15721093781661
2020,Devontae Cacok,Lal,F,24.6,20,4.9,10.2,16.9,11,0.455,29,0.586,0,0.0,0.586,0.576,2.0,1.6,17.8,0.1,1.5,0.25,0.2,5.6,112.8,98.8,10.6,449115.0,109140000,0.0041,0,0,1,0,462587.62699285324,44.25960085638982,53.97600485052455
2019,Max Strus,Chi,G-F,24.38,2,3.1,6.5,23.6,1,1.0,2,1.0,1,0.0,0.6666666666666666,0.727,2.5,0.5,8.9,0.0,0.0,0.0,0.0,0.0,,,0.0,79568.0,109140000,0.0007,0,0,1,1,81954.89419094741,31.988652950226392,37.844073490438035
2018,Rodions Kurucs,Bro,F,21.18,63,20.5,42.8,18.4,92,0.783,265,0.543,184,0.315,0.38502227171492204,0.545,8.5,3.9,10.0,0.8,6.0,0.67,0.43,5.8,102.5,100.6,13.6,1690000.0,101869000,0.0166,0,0,1,0,1864940.8554123433,56.25928402344053,71.24557794070058
2016,Toney Douglas,Mem,PG,30.0,24,16.4,34.2,17.4,29,0.828,75,0.48,42,0.167,0.33766666666666667,0.451,4.9,2.5,8.9,2.3,22.2,0.75,0.21,7.4,,,13.900000000000002,564868.0,94143000,0.006,0,0,0,1,674495.9407709548,46.157250613977105,58.221916995752196
2014,Greivis Vasquez,Tor,PG,28.0,82,24.3,50.6,20.1,66,0.758,374,0.436,351,0.379,0.31666,0.514,9.5,2.6,6.3,3.7,23.9,0.56,0.12,7.4,,,13.600000000000001,6400000.0,63065000,0.1015,0,0,0,1,11408064.69515579,71.19109526698358,101.3792185939176
2018,Pascal Siakam,Tor,F,25.03,80,31.8,66.3,20.8,302,0.785,731,0.602,214,0.369,0.5074550264550265,0.628,16.9,6.9,11.6,3.1,14.6,0.93,0.64,9.0,120.7,100.6,12.4,1544951.0,101869000,0.0152,0,0,1,0,1704877.0647989083,55.363474985253724,69.99650444599325
2017,Austin Rivers,Lac,SG,25.0,61,33.7,70.2,20.7,159,0.642,445,0.461,360,0.378,0.33936024844720497,0.526,15.1,2.4,3.9,4.0,17.5,1.21,0.26,6.2,105.5,107.7,11.1,11825000.0,99093000,0.1193,0,0,0,1,13414626.15926453,79.2300463864033,104.59368042973861
2014,Dwyane Wade,Mia,SG,33.0,62,31.8,66.2,35.3,370,0.768,982,0.489,102,0.284,0.4563487084870848,0.534,21.5,3.5,6.7,4.8,32.1,1.18,0.34,9.0,,,14.399999999999999,15000000.0,63065000,0.2378,0,0,0,1,26737651.629271384,82.56417224385876,119.39539442306189
2013,Tony Parker,San,PG,31.0,68,29.2,60.5,26.7,243,0.811,847,0.509,67,0.373,0.48535940919037196,0.555,16.7,2.3,4.4,5.7,32.1,0.53,0.13,8.3,,,12.9,12500000.0,58679000,0.213,0,0,0,1,23946812.31786499,79.99688293073976,116.90249871203092
2021,Boban Marjanovic,Dal,C,33.6,18,5.6,11.6,34.2,16,0.5,55,0.636,3,0.333,0.6117155172413793,0.623,4.5,1.7,16.6,0.1,4.5,0.0,0.11,6.5,101.5,88.9,14.5,3500000.0,112414000,0.0311,0,1,0,0,3500000.0,64.02577242867926,80.60927294987202
2018,Robert Covington,Phi,F,28.32,35,34.25,71.35,15.35,89,0.756,137,0.513,225,0.381,0.3099428745857318,0.579,12.9,5.45,8.45,1.3,5.05,2.06,1.4100000000000001,5.2,108.5,102.25,11.600000000000001,10464092.0,101869000,0.1027,0,0,1,0,11547285.612777194,77.56506448831797,101.61658070885558
2014,Nikola Mirotic,Chi,PF,23.0,82,20.2,42.0,23.1,284,0.803,311,0.495,313,0.316,0.3259599358974359,0.556,10.2,4.9,13.3,1.2,9.7,0.66,0.66,7.8,,,10.6,5305000.0,63065000,0.0841,0,0,1,0,9456216.12621898,68.88828212337276,97.77355784921032
2016,Justin Hamilton,Bro,C,26.0,64,18.4,38.3,16.2,52,0.75,199,0.598,180,0.306,0.3866543535620053,0.55,6.9,4.1,11.8,0.9,7.3,0.45,0.67,6.4,,,9.700000000000001,3000000.0,94143000,0.0319,0,1,0,0,3582231.2864472135,62.30454562935007,80.97574123474173
2014,Justin Hamilton,Mia,C,24.0,41,18.45,38.5,14.149999999999999,47,0.841,147,0.496,31,0.3245,0.4327336283185841,0.5355,5.9,3.55,10.8,0.95,7.85,0.7250000000000001,0.84,5.550000000000001,,,11.3,816482.0,63065000,0.0129,0,1,0,0,1455387.4185047173,49.35652383407974,67.84350735815259
2016,Ron Baker,Nyk,SG,23.0,52,16.5,34.3,14.8,43,0.651,131,0.45,86,0.267,0.3245668202764977,0.456,4.1,1.9,6.2,2.1,17.3,0.67,0.13,6.2,,,19.2,543471.0,94143000,0.0058,0,0,0,1,648946.2731589179,45.83276732656803,57.77357745771073
2021,Darius Garland,Cle,G,22.15,58,35.6,74.1,27.7,195,0.908,594,0.529,392,0.372,0.39263488843813393,0.58,21.4,3.3,5.2,8.6,40.4,1.22,0.1,9.5,111.7,107.7,17.3,7040880.0,112414000,0.0626,0,0,0,1,7040880.0,72.38922601101015,92.35063960841795
2015,Joakim Noah,Chi,C,30.0,29,21.9,45.6,14.2,45,0.489,132,0.386,1,0.0,0.3830977443609022,0.406,4.3,8.8,21.1,3.8,24.2,0.62,1.0,9.6,,,25.4,13400000.0,70000000,0.1914,0,1,0,0,21519251.42857143,80.96701066677792,114.53290038327248
2021,John Konchar,Mem,G,26.0,62,17.9,37.3,9.5,39,0.59,109,0.596,107,0.402,0.4003287037037037,0.605,4.5,4.5,12.9,1.4,9.4,0.65,0.32,6.8,130.9,104.7,9.3,2200000.0,112414000,0.0196,0,0,0,1,2200000.0,58.96814753775293,73.59977968022058
2020,Alex Len,Tor,C,27.92,64,13.3,27.8,14.25,116,0.5680000000000001,253,0.5735,25,0.3815,0.48022667910447764,0.638,4.699999999999999,3.0,11.3,0.6000000000000001,6.2,0.23500000000000001,0.94,5.800000000000001,98.95,102.8,25.849999999999998,3970648.0,109140000,0.0364,0,1,0,0,4089760.163752978,65.46665809748949,83.09670777315684
2020,Evan Fournier,Orl,G-F,28.55,42,29.9,62.25,22.1,137,0.7555000000000001,258,0.48250000000000004,283,0.4255,0.3408358976176971,0.594,16.35,3.0999999999999996,5.550000000000001,3.4000000000000004,17.9,1.145,0.49,7.4,115.05,109.25,10.45,17150000.0,109140000,0.1571,0,0,1,1,17664468.57247572,84.49889772299615,110.27682914913316
2015,Tony Parker,San,PG,33.0,72,27.5,57.3,21.2,171,0.76,645,0.501,65,0.415,0.4741302816901408,0.546,11.9,2.4,5.1,5.3,29.1,0.75,0.15,7.8,,,14.299999999999999,13437500.0,70000000,0.192,0,0,0,1,21579473.214285713,81.00623233949997,114.59426615116398
2020,Rondae Hollis-Jefferson,Por,F,26.37,11,9.8,20.3,10.8,16,0.563,17,0.529,1,0.0,0.4996111111111111,0.539,2.5,2.4,12.9,1.2,15.6,0.18,0.36,7.9,134.5,104.7,7.4,502957.0,109140000,0.0046,0,0,1,0,518044.7883269196,45.187832421844504,55.220127454021885
2021,Mo Bamba,Orl,C,23.86,62,25.8,53.8,16.9,64,0.797,296,0.564,230,0.361,0.3963098859315589,0.572,10.2,8.0,16.3,1.1,7.0,0.56,1.69,6.9,111.8,102.6,11.5,7568743.0,112414000,0.0673,0,1,0,0,7568743.0,73.30916143676629,93.65292946297613
2021,James Johnson,Bro,F,35.09,56,19.5,40.6,14.2,53,0.528,211,0.555,82,0.28,0.4388566552901024,0.523,5.9,3.5,9.8,2.1,14.7,0.46,0.52,7.2,110.7,102.6,12.2,2641691.0,112414000,0.0235,0,0,1,0,2641691.0,60.91612986640299,76.29104453893092
2018,Jeremy Lamb,Cha,G,26.86,79,28.5,59.3,22.5,260,0.888,648,0.488,330,0.348,0.38204907975460123,0.553,15.3,5.5,10.4,2.2,11.9,1.11,0.41,8.0,113.5,107.7,6.8,7000000.0,101869000,0.0687,0,0,0,1,7724607.093423907,72.3155932279219,94.0232464369679
2017,Davis Bertans,San,PF,25.0,77,14.1,29.4,17.4,49,0.816,114,0.588,252,0.373,0.31155737704918035,0.588,5.9,2.0,7.8,1.0,10.3,0.34,0.36,6.5,115.2,99.8,8.5,1312611.0,99093000,0.0132,0,0,1,0,1489064.343132209,53.769279100572724,68.15095067209887
2014,Kosta Koufos,Mem,C,25.0,81,16.6,34.7,16.0,85,0.647,358,0.508,0,0.0,0.508,0.53,5.2,5.2,18.0,0.5,4.3,0.36,0.78,5.7,,,14.899999999999999,3000000.0,63065000,0.0476,0,1,0,0,5347530.325854277,62.30454562935007,87.54958592841821
2015,Mario Chalmers,Mem,PG,29.0,61,21.4,44.55,20.05,262,0.875,295,0.4465,149,0.20850000000000002,0.3301757433252427,0.5035,8.15,2.45,6.55,3.5,24.65,1.3900000000000001,0.195,7.6000000000000005,,,17.85,4300000.0,70000000,0.0614,0,0,0,1,6905431.428571428,66.39190264535421,92.00364834080773
2017,Dwight Powell,Dal,C,26.0,79,21.2,44.1,15.5,185,0.719,346,0.656,84,0.333,0.5603767441860464,0.656,8.5,5.6,14.7,1.2,8.5,0.85,0.41,7.3,129.8,98.5,10.299999999999999,9003125.0,99093000,0.0909,0,1,0,0,10213408.553076403,75.56169456907037,99.23871128220811
2013,Paul Pierce,Bro,SF,36.0,75,27.8,57.2,22.6,310,0.826,412,0.507,300,0.373,0.37195786516853935,0.595,13.5,4.6,10.0,2.4,14.7,1.15,0.41,7.6,,,15.299999999999999,15333334.0,58679000,0.2613,0,0,1,0,29374757.720411047,82.87877944731173,121.56263620703778
