RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Obi Toppin,Nyk,F,23.2,62,11,23,15.9,9.4,26,0.731,124,0.629,85,0.306,0.56,0.574,4.1,2.2,11,0.5,6.4,0.27,0.24,0.37,6,111.9,102.9
,Juan Toscano-Anderson,Gol,F,28.1,53,20.9,43.5,11,21.8,31,0.71,117,0.718,92,0.402,0.667,0.676,5.7,4.4,11.2,2.8,18.1,0.77,0.49,1.17,7.9,120.7,102.4
,Axel Toupane,Mil,G-F,20,8,7.7,15.9,9.6,0,7,0.714,9,0.333,2,0.5,0.409,0.497,1.8,0.8,5.2,0.5,7.6,0.25,0.38,0,4.7,118.6,105.5
,Karl-Anthony Towns,Min,C-F,25.5,50,33.8,70.4,29.1,13.7,311,0.859,560,0.541,315,0.387,0.555,0.612,24.8,10.6,17,4.5,22.6,0.76,1.14,3.2,12.5,116.4,105.4
,Gary Trent Jr.,Por,G-F,22.33,41,30.8,64.1,20.1,5.3,75,0.773,219,0.438,305,0.397,0.53,0.55,15,2.2,3.9,1.4,6.7,0.9,0.15,0.76,4.7,112,116.4
,Gary Trent Jr.,Tor,G-F,22.33,17,31.8,66.2,22.9,4.2,31,0.806,137,0.431,124,0.355,0.479,0.501,16.2,3.6,6.2,1.3,6.4,1.12,0.24,0.71,5.3,100.3,112.7
,P.J. Tucker,Hou,F,36.03,32,30,62.4,7.7,19,23,0.783,45,0.467,86,0.314,0.469,0.5,4.4,4.6,8.2,1.4,6.1,0.88,0.56,1.03,4.1,99,109.3
,P.J. Tucker,Mil,F,36.03,20,19.8,41.3,5.8,12.7,5,0.6,13,0.385,33,0.394,0.533,0.539,2.6,2.8,7.4,0.8,4.6,0.5,0.1,0.35,3.6,119.1,107.4
,Rayjon Tucker,Phi,G,23.64,14,4.9,10.1,19.2,13.2,19,0.737,11,0.636,7,0.286,0.556,0.645,2.4,0.8,8.9,0.4,12.2,0.14,0,0.29,7.5,122.7,99.4
,Myles Turner,Ind,C-F,25.15,47,31,64.5,16.4,11.9,142,0.782,226,0.606,206,0.335,0.557,0.599,12.6,6.5,11.4,1,4.4,0.85,3.38,1.43,5.6,111.4,104.4
,Jonas Valanciunas,Mem,C,29.03,62,28.3,59,22.4,10.7,203,0.773,685,0.612,57,0.368,0.607,0.636,17.1,12.5,23.4,1.8,10,0.56,0.92,1.61,10.3,124.9,101
,Denzel Valentine,Chi,G,27.5,62,16.7,34.8,19.5,9,17,0.941,174,0.431,242,0.331,0.469,0.479,6.5,3.2,10.5,1.7,14,0.48,0.11,0.68,7.9,99.6,108.1
,Jarred Vanderbilt,Min,F,22.12,64,17.8,37.1,12.3,15.9,102,0.559,231,0.615,5,0.2,0.608,0.612,5.4,5.8,17.5,1.2,9.3,1,0.73,0.83,7.5,120.6,104
,Fred VanVleet,Tor,G,27.22,52,36.5,76.1,23.9,9.1,191,0.885,394,0.416,476,0.366,0.489,0.534,19.6,4.2,6.4,6.3,26.7,1.67,0.71,1.83,8.8,112.4,111
,Anderson Varejao,Cle,F,38.63,5,7.2,15,25.4,4.8,9,0.556,15,0.267,1,0,0.25,0.326,2.6,4,31.1,0.6,12.2,0,0.4,0.2,10.2,90.1,104.6
,Devin Vassell,San,G-F,20.73,62,17,35.5,14.3,6.3,51,0.843,153,0.464,150,0.347,0.492,0.524,5.5,2.8,8.8,0.9,7.1,0.69,0.29,0.35,5.7,107.5,106.6
,Gabe Vincent,Mia,G,24.92,50,13.1,27.3,19.1,12.3,23,0.87,84,0.5,149,0.309,0.476,0.498,4.8,1.1,4.9,1.3,15.1,0.42,0.04,0.68,5.8,97.8,103
,Noah Vonleh,Bro,F,25.73,4,2.7,5.6,20.2,40,0,0,1,0,2,0,0,0,0,0.3,5.1,0.3,10.4,0,0,0.5,0,,
,Nikola Vucevic,Orl,C,30.56,44,34.1,71,29.9,8,110,0.827,620,0.515,288,0.406,0.545,0.565,24.5,11.8,17.9,3.8,22.1,0.95,0.64,1.89,12.1,111.7,108.1
,Nikola Vucevic,Chi,C,30.56,26,32.6,67.9,28.2,7.8,46,0.87,336,0.509,152,0.388,0.532,0.55,21.5,11.6,19.7,3.9,20,0.88,0.77,1.65,12.2,112,105.2
,Dean Wade,Cle,F-C,24.49,63,19.2,40.1,12.9,8.4,39,0.769,98,0.571,213,0.366,0.556,0.573,6,3.4,9.9,1.2,8.9,0.54,0.33,0.48,6,115.5,111
,Moritz Wagner,Was,F-C,24.06,25,15,31.3,18.3,12.7,52,0.788,80,0.613,42,0.31,0.561,0.614,7.1,2.9,10.3,1.3,11.7,0.88,0.32,0.84,8,116.4,97
,Moritz Wagner,Bos,F-C,24.06,9,6.8,14.1,16.9,37.7,2,0.5,8,0.25,6,0.333,0.357,0.37,1.2,2.1,17.4,0.7,12.4,0,0.11,1,7.1,65.4,97
,Moritz Wagner,Orl,F-C,24.06,11,26,54.1,18.2,10.8,33,0.879,50,0.44,43,0.372,0.495,0.563,11,4.9,9.8,1.1,6.4,0.36,0.82,1.18,6,109.2,104.4
,Lonnie Walker IV,San,G-F,22.42,60,25.4,52.8,20.2,9.2,70,0.814,327,0.477,282,0.355,0.502,0.523,11.2,2.6,5.4,1.7,9.6,0.48,0.25,1.08,5.8,99.9,111.1
,Kemba Walker,Bos,G,31.03,43,31.8,66.3,26.1,10.6,149,0.899,323,0.486,353,0.36,0.514,0.559,19.3,4,6.9,4.9,23.8,1.12,0.28,2.05,9.1,113.5,112.6
,John Wall,Hou,G,30.69,40,32.2,67.1,31.7,14.7,211,0.749,477,0.449,249,0.317,0.458,0.503,20.6,3.2,5.3,6.9,36.2,1.05,0.78,3.53,9.6,99.3,116.4
,Brad Wanamaker,Gol,G,31.81,39,16,33.4,16,15.8,56,0.893,112,0.429,61,0.213,0.39,0.468,4.7,1.7,5.6,2.5,20.8,0.67,0.15,0.95,6.8,99.5,106.2
,Brad Wanamaker,Cha,G,31.81,22,19.5,40.5,18.1,18.9,45,0.889,102,0.5,24,0.125,0.44,0.518,6.9,1.8,4.9,3.4,24.9,0.73,0.23,1.55,7.1,104.6,108.3
,T.J. Warren,Ind,F,27.7,4,29.4,61.1,21.5,6.7,10,0.8,44,0.614,7,0,0.529,0.56,15.5,3.5,6.5,1.3,6.4,0.5,0,1,5.6,107,104.7
,P.J. Washington,Cha,F,22.73,64,30.5,63.6,19.4,14.6,145,0.745,397,0.479,290,0.386,0.521,0.549,12.9,6.5,11.6,2.5,12.2,1.09,1.23,2,7.8,104.3,105.8
,Yuta Watanabe,Tor,G-F,26.59,50,14.5,30.1,12.7,9,29,0.828,90,0.478,90,0.4,0.539,0.565,4.4,3.2,12,0.8,7.7,0.52,0.4,0.38,6.2,116.4,107.6
,Tremont Waters,Bos,G,23.35,26,9.1,19,21.5,22.8,17,0.941,46,0.413,38,0.395,0.494,0.541,3.8,0.8,4.9,2.4,36.4,0.58,0.04,1.04,8.5,107.7,108.9
,Paul Watson,Tor,G,26.38,27,11,22.9,13.8,9.5,8,0.625,18,0.444,64,0.469,0.646,0.649,4.1,1.7,8.3,0.6,8.2,0.19,0.11,0.33,5.9,120.3,104.9
,Quinndary Weatherspoon,San,G,24.68,20,6.1,12.6,18.7,19.2,16,0.813,29,0.517,6,0.167,0.471,0.547,2.3,0.6,4.8,0.4,9,0.4,0.1,0.5,5.4,96.6,100
,Russell Westbrook,Was,G,32.51,65,36.4,75.9,30.3,18,413,0.656,965,0.475,273,0.315,0.474,0.509,22.2,11.5,16.8,11.7,48.6,1.35,0.35,4.8,15.8,104.1,104.3
,Coby White,Chi,G,21.25,69,31.2,65.1,22.5,13.9,142,0.901,448,0.473,454,0.359,0.506,0.54,15.1,4.1,7.3,4.8,21.8,0.55,0.22,2.26,8.6,105.5,108.3
,Derrick White,San,G,26.87,36,29.5,61.6,22.4,8.2,114,0.851,210,0.486,243,0.346,0.503,0.55,15.4,3,5.4,3.5,17.4,0.72,1,1.25,7.4,110.6,108.7
,Hassan Whiteside,Sac,C,31.93,36,15.2,31.6,23.5,13.4,79,0.519,223,0.565,1,0,0.563,0.566,8.1,6,21.9,0.6,5.6,0.25,1.28,1.11,8.1,106.8,103.2
,Greg Whittington,Den,F,28.27,4,3,6.3,10.9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
,Andrew Wiggins,Gol,F,26.23,71,33.3,69.4,23.3,9.7,238,0.714,690,0.529,368,0.38,0.543,0.568,18.6,4.9,7.8,2.4,10.9,0.93,0.99,1.76,7.2,107.4,108.7
,Robert Williams III,Bos,C-F,23.58,52,18.9,39.5,15,15.2,73,0.616,256,0.727,2,0,0.721,0.719,8,6.9,20.2,1.8,14.2,0.83,1.77,1,9.8,137.8,101.5
,Grant Williams,Bos,F,22.46,63,18.1,37.6,12.3,17.2,51,0.588,118,0.508,129,0.372,0.534,0.546,4.7,2.8,8.7,1,7.4,0.51,0.37,0.89,5.2,104,101.9
,Kenrich Williams,Okc,G-F,26.46,66,21.6,45,15.3,14.8,63,0.571,294,0.568,117,0.444,0.596,0.599,8,4.1,9.9,2.3,16.4,0.86,0.26,1.15,7.8,115.4,106.2
,Lou Williams,Lac,G,34.55,42,21.9,45.5,26.5,12,119,0.866,311,0.437,119,0.378,0.473,0.529,12.1,2.1,5.4,3.4,23.3,0.93,0.1,1.57,8.1,107.9,110.5
,Lou Williams,Atl,G,34.55,24,21.1,43.9,24.3,14.6,54,0.87,163,0.368,54,0.444,0.442,0.496,10,2.1,5.4,3.4,23.7,0.33,0.08,1.71,7.9,100.7,114.2
,Zion Williamson,Nor,F,20.86,61,33.2,69.2,29.8,11.6,529,0.698,1003,0.622,34,0.294,0.616,0.649,27,7.2,11.8,3.7,19.8,0.93,0.64,2.74,10.8,123.4,109.8
,Patrick Williams,Chi,F,19.72,71,27.9,58.2,14.9,14.4,125,0.728,390,0.515,138,0.391,0.534,0.562,9.2,4.6,9.1,1.4,6.7,0.9,0.65,1.38,5.6,104.6,109.1
,D.J. Wilson,Mil,F,25.24,12,8.7,18.2,19.2,8.4,2,0.5,15,0.4,28,0.357,0.488,0.49,3.6,2.1,12.6,0.3,3.7,0.08,0.33,0.33,6,96.2,101.4
,D.J. Wilson,Hou,F-C,25.24,23,14.3,29.7,19.9,11.8,23,0.696,66,0.485,59,0.339,0.496,0.518,6.1,3.8,14.1,0.9,9.3,0.43,0.52,0.78,7.7,100.6,106.8
,Dylan Windler,Cle,G-F,24.65,31,16.5,34.5,14.9,18.3,27,0.778,53,0.585,78,0.333,0.534,0.563,5.2,3.5,11.6,1.1,9.4,0.61,0.39,1.03,6.6,102,108.9
,Justise Winslow,Mem,F-G,25.14,26,19.5,40.6,21.9,14.1,35,0.571,156,0.41,54,0.185,0.376,0.395,6.8,4.5,12.3,1.9,13.3,0.58,0.46,1.42,7.9,81.8,104.1
,Cassius Winston,Was,G,23.21,22,4.5,9.3,17.1,12.3,6,0.833,16,0.375,17,0.471,0.545,0.575,1.9,0.4,4.9,0.5,16.3,0.09,0.05,0.23,6.4,110.5,109.7
,James Wiseman,Gol,C,20.13,39,21.4,44.7,23.8,12.9,86,0.628,330,0.542,38,0.316,0.535,0.552,11.5,5.8,14.4,0.7,4.9,0.28,0.92,1.54,6.7,99.5,98.3
,Robert Woodard II,Sac,F,21.65,13,3.5,7.3,23.2,4.1,8,0.375,14,0.5,6,0.167,0.425,0.425,1.5,1.2,19.6,0.2,6.2,0,0.23,0.08,8.1,,
,Christian Wood,Hou,F,25.64,41,32.3,67.4,25.9,9.9,198,0.631,434,0.581,206,0.374,0.574,0.591,21,9.6,15.9,1.7,9.4,0.83,1.17,1.95,8.7,110.5,109.4
,Delon Wright,Det,G,29.06,36,29.2,60.9,15.8,12.6,90,0.789,204,0.515,89,0.348,0.517,0.562,10.4,4.6,8.7,5,25.7,1.58,0.53,1.33,8.5,119.1,110.5
,Delon Wright,Sac,G,29.06,27,25.8,53.7,17.1,12.7,36,0.833,142,0.5,83,0.398,0.536,0.563,10,3.9,8.4,3.6,18.9,1.56,0.37,1.3,8.1,114.9,115.4
,Thaddeus Young,Chi,F,32.9,68,24.3,50.6,22.3,16,113,0.628,618,0.579,45,0.267,0.567,0.577,12.1,6.2,14.1,4.3,27.1,1.09,0.59,2,11.3,115.3,104.5
,Trae Young,Atl,G,22.66,63,33.7,70.3,33,16.2,546,0.886,715,0.491,397,0.343,0.499,0.589,25.3,3.9,6.3,9.4,45.5,0.84,0.17,4.14,11.6,116.9,111.9
,Cody Zeller,Cha,F-C,28.61,48,20.9,43.6,18.3,11.9,119,0.714,296,0.598,28,0.143,0.565,0.599,9.4,6.8,17.7,1.8,13.2,0.56,0.35,1.06,9.3,121.8,101.5
,Ivica Zubac,Lac,C,24.16,72,22.3,46.5,15.2,14.7,171,0.789,390,0.656,4,0.25,0.654,0.693,9,7.2,18.1,1.3,7.9,0.33,0.86,1.13,7.9,134.5,101
