RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Mitchell Robinson,Nyk,C-F,23.13,31,27.5,57.3,11.8,11.5,53,0.491,176,0.653,0,0,0.653,0.642,8.3,8.1,16,0.5,2.9,1.13,1.45,0.84,4.7,130.5,99.5
,Isaiah Roby,Okc,F,23.28,61,23.4,48.7,17.7,19,117,0.744,320,0.547,109,0.294,0.52,0.555,8.7,5.6,12.4,1.8,11.4,0.85,0.61,1.85,7.6,101.4,103.8
,Rajon Rondo,Atl,G,35.23,27,14.9,31,16.2,26,2,0.5,65,0.415,45,0.378,0.477,0.478,3.9,2,7.5,3.5,32.2,0.7,0.07,1.44,8.1,97.5,108.6
,Rajon Rondo,Lac,G,35.23,18,20.4,42.6,18.3,26.4,15,1,61,0.525,44,0.432,0.576,0.609,7.6,3.1,8.4,5.8,38.6,0.94,0.11,2.22,10.1,118,105.9
,Derrick Rose,Det,G,32.61,15,22.8,47.4,30.1,12.3,50,0.84,145,0.455,39,0.333,0.465,0.517,14.2,1.9,4.7,4.2,32.5,1.2,0.27,1.93,8.5,103.8,111.4
,Derrick Rose,Nyk,G,32.61,35,26.8,55.8,24.3,9.6,77,0.883,337,0.507,90,0.411,0.53,0.565,14.9,2.9,5.8,4.2,26.3,0.89,0.43,1.4,8.5,115.1,109
,Terrence Ross,Orl,G-F,30.28,46,29.3,61,24.1,9.7,138,0.87,352,0.469,264,0.337,0.485,0.53,15.6,3.4,6.1,2.4,13.4,1.02,0.46,1.59,6.9,103,111
,Terry Rozier,Cha,G,27.17,69,34.5,72,24.4,9.5,202,0.817,562,0.512,571,0.389,0.548,0.576,20.4,4.4,6.9,4.2,20,1.25,0.38,1.87,8.4,113.3,111.8
,Ricky Rubio,Min,G,30.57,68,26.1,54.3,16,16.4,150,0.867,284,0.447,214,0.308,0.454,0.516,8.6,3.3,6.8,6.4,33.3,1.46,0.06,1.63,8.7,113.1,110.1
,D'Angelo Russell,Min,G,25.23,42,28.5,59.3,29.1,13.5,149,0.765,342,0.471,310,0.387,0.523,0.555,19,2.6,5,5.8,33.7,1.07,0.43,2.67,9.3,108,114.4
,Domantas Sabonis,Ind,F-C,25.04,62,36,75,24.1,16.9,328,0.732,742,0.582,162,0.321,0.564,0.601,20.3,12,18,6.7,27.5,1.23,0.53,3.44,13.1,115.1,103.7
,Luka Samanic,San,F,21.35,33,9.3,19.5,19.4,14.5,29,0.552,62,0.565,43,0.279,0.505,0.518,3.7,2.1,11.7,0.5,6.9,0.24,0.24,0.61,6.8,96.4,100.6
,JaKarr Sampson,Ind,F,28.16,29,10.9,22.7,18.9,10.7,29,0.655,98,0.541,15,0.2,0.509,0.533,4.6,2.7,13.2,0.1,1.8,0.07,0.48,0.52,3.9,103.7,100.5
,Dario Saric,Pho,F-C,27.11,50,17.4,36.3,22.6,12.9,99,0.848,207,0.512,135,0.348,0.516,0.567,8.7,3.8,12.4,1.3,10.4,0.6,0.08,1.14,8.1,109,101.9
,Tomas Satoransky,Chi,G,29.55,58,22.5,46.9,15.2,20.9,79,0.848,210,0.605,118,0.356,0.579,0.616,7.7,2.4,6,4.7,27.9,0.69,0.24,1.66,7.9,118.4,109.9
,Dennis Schroder,Lal,G,27.67,61,32.1,66.8,22.9,15.8,243,0.848,548,0.476,212,0.335,0.484,0.543,15.4,3.5,6,5.8,26.9,1.16,0.21,2.67,8.5,107.1,102.7
,Mike Scott,Phi,F,32.83,51,16.7,34.8,11.9,8.1,12,0.667,56,0.411,155,0.342,0.486,0.492,4.2,2.4,7.8,0.8,6.1,0.47,0.27,0.37,4.8,101,103.5
,Jay Scrubb,Lac,G,20.71,4,21.1,43.9,23.8,15.5,5,1,27,0.444,9,0.222,0.417,0.458,8.8,3.5,9.3,0.3,1.7,1,0,1.75,4,81.6,107
,Collin Sexton,Cle,G,22.36,60,35.3,73.4,29.7,11.6,383,0.815,841,0.508,264,0.371,0.519,0.573,24.3,3.1,4.9,4.4,22.6,1.05,0.17,2.78,7.8,110.7,112.1
